"id_autoria","id_artigo","id_pessoa","ordem_autoria","autor_correspondente"
"1","1","1","1","TRUE"
"2","1","2","2","FALSE"
"3","2","3","1","TRUE"
"4","2","4","2","FALSE"
"5","2","5","3","FALSE"
"6","2","6","4","FALSE"
"7","3","7","1","TRUE"
"8","3","8","2","FALSE"
"9","3","9","3","FALSE"
"10","3","10","4","FALSE"
"11","4","11","1","TRUE"
"12","4","12","2","FALSE"
"13","4","13","3","FALSE"
"14","4","14","4","FALSE"
"15","6","15","1","TRUE"
"16","6","16","2","FALSE"
"17","6","17","3","FALSE"
"18","6","18","4","FALSE"
"19","6","19","5","FALSE"
"20","6","20","6","FALSE"
"21","6","21","7","FALSE"
"22","7","22","1","TRUE"
"23","7","23","2","FALSE"
"24","7","24","3","FALSE"
"25","7","25","4","FALSE"
"26","7","26","5","FALSE"
"27","7","27","6","FALSE"
"28","7","28","7","FALSE"
"29","8","29","1","TRUE"
"30","8","30","2","FALSE"
"31","8","31","3","FALSE"
"32","8","32","4","FALSE"
"33","9","33","1","TRUE"
"34","9","34","2","FALSE"
"35","9","35","3","FALSE"
"36","10","36","1","TRUE"
"37","10","37","2","FALSE"
"38","10","38","3","FALSE"
"39","10","39","4","FALSE"
"40","11","40","1","TRUE"
"41","11","41","2","FALSE"
"42","12","42","1","TRUE"
"43","12","43","2","FALSE"
"44","12","44","3","FALSE"
"45","12","14","4","FALSE"
"46","13","45","1","TRUE"
"47","13","46","2","FALSE"
"48","14","47","1","TRUE"
"49","14","48","2","FALSE"
"50","14","49","3","FALSE"
"51","15","50","1","TRUE"
"52","15","51","2","FALSE"
"53","15","52","3","FALSE"
"54","16","53","1","TRUE"
"55","16","54","2","FALSE"
"56","16","55","3","FALSE"
"57","16","56","4","FALSE"
"58","16","57","5","FALSE"
"59","17","58","1","TRUE"
"60","17","59","2","FALSE"
"61","18","60","1","TRUE"
"62","18","61","2","FALSE"
"63","19","62","1","TRUE"
"64","19","63","2","FALSE"
"65","19","64","3","FALSE"
"66","20","65","1","TRUE"
"67","20","66","2","FALSE"
"68","20","67","3","FALSE"
"69","20","68","4","FALSE"
"70","20","69","5","FALSE"
"71","21","70","1","TRUE"
"72","21","59","2","FALSE"
"73","21","71","3","FALSE"
"74","22","72","1","TRUE"
"75","22","73","2","FALSE"
"76","22","74","3","FALSE"
"77","22","75","4","FALSE"
"78","23","76","1","TRUE"
"79","23","77","2","FALSE"
"80","23","78","3","FALSE"
"81","24","76","1","TRUE"
"82","24","77","2","FALSE"
"83","24","78","3","FALSE"
"84","25","79","1","TRUE"
"85","25","80","2","FALSE"
"86","25","44","3","FALSE"
"87","25","81","4","FALSE"
"88","25","82","5","FALSE"
"89","26","24","1","TRUE"
"90","26","83","2","FALSE"
"91","26","84","3","FALSE"
"92","26","85","4","FALSE"
"93","26","86","5","FALSE"
"94","26","16","6","FALSE"
"95","27","87","1","TRUE"
"96","27","88","2","FALSE"
"97","27","89","3","FALSE"
"98","27","90","4","FALSE"
"99","27","91","5","FALSE"
"100","28","92","1","TRUE"
"101","28","24","2","FALSE"
"102","28","93","3","FALSE"
"103","29","94","1","TRUE"
"104","29","95","2","FALSE"
