"id_pessoa","nome","instituicao"
"1","Leonardo Guerreiro Azevedo","Universidade Federal do Rio de Janeiro (UFRJ)"
"2","Ralf Hartmut G�ting","Universidade Federal do Rio de Janeiro (UFRJ)"
"3","Andr� R. Backes","Universidade de S–o Paulo (USP)"
"4","Adriana B. Bruno","Universidade de S–o Paulo (USP)"
"5","Mauro N. Barros Filho","Faculdade de Ci–ncias Humanas (ESUDA)"
"6","Odemir M. Bruno","Universidade de S–o Paulo (USP)"
"7","Olga Oliveira Bittencourt","Instituição não informada"
"8","Gilberto C�mara","Instituição não informada"
"9","L�bia Vinhas","Instituição não informada"
"10","Joice Seleme Mota","Instituição não informada"
"11","Daniela F. Brauner","Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)"
"12","Chantal Intrator","Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)"
"13","Jo�o Carlos Freitas","Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)"
"14","Marco A. Casanova","Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)"
"15","Samuel R. de Sales Campos","Universidade Federal de Lavras (UFLA)"
"16","Adriana Z. Martinhago","Universidade Federal de Lavras (UFLA)"
"17","Thomas C. de A. Oliveira","Universidade Federal de Lavras (UFLA)"
"18","Luca Ara�jo Egas Prieto","Universidade Federal de Lavras (UFLA)"
"19","Ronaldo Aparecido da Silva","Universidade Federal de Lavras (UFLA)"
"20","Aleksander Maduro Fran�a","Universidade Federal de Lavras (UFLA)"
"21","Ivayr Dieb Farah Netto","Universidade Federal de Lavras (UFLA)"
"22","Luis M. T. Carvalho","Universidade Federal de Lavras (UFLA)"
"23","Mois�s S. Ribeiro","Universidade Federal de Lavras (UFLA)"
"24","Luciano T. de Oliveira","Universidade Federal de Lavras (UFLA)"
"25","Thomaz C. A. Oliveira","Universidade Federal de Lavras (UFLA)"
"26","Julio N. Louzada","Universidade Federal de Lavras (UFLA)"
"27","Jos� R. S. Scolforo","Universidade Federal de Lavras (UFLA)"
"28","Antonio D. Oliveira","Universidade Federal de Lavras (UFLA)"
"29","Nazario CiprianI","Universit–t Stuttgart"
"30","Matthias Grossmann","Universit–t Stuttgart"
"31","Daniela Nicklas","Universit–t Stuttgart"
"32","Bernhard Mitschang","Universit–t Stuttgart"
"33","Natal Henrique Cordeiro","Universidade Federal do Rio Grande do Norte (UFRN)"
"34","Bruno Motta de Carvalho","Universidade Federal do Rio Grande do Norte (UFRN)"
"35","Luiz Marcos Garcia Gonc�alves","Universidade Federal do Rio Grande do Norte (UFRN)"
"36","David Cavassana Costa","Universidade Federal do Maranh–o (UFMA)"
"37","Mario Meireles Teixeira","Universidade Federal do Maranh–o (UFMA)"
"38","Anselmo Cardoso de Paiva","Universidade Federal do Maranh–o (UFMA)"
"39","Claudio de Souza Baptista","Universidade Federal do Maranh–o (UFMA)"
"40","Daniel S. Cotrim","Universidade Salvador (UNIFACS)"
"41","Jorge Campos","Universidade Salvador (UNIFACS)"
"42","Vitor Dantas","Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)"
"43","Marcelo G. Metello","Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)"
"44","Melissa Lemos","Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)"
"45","Clodoveu A. Davis Junior","Pontif–cia Universidade Cat–lica de Minas Gerais (PUCMINAS)"
"46","Emerson de Salles","Pontif–cia Universidade Cat–lica de Minas Gerais (PUCMINAS)"
"47","Eliane Z. Victorelli Dias","Funda––o CPqD"
"48","Geovane Cayres Magalh�es","Funda––o CPqD"
"49","Grace Kelly de C. Silva","Funda––o CPqD"
"50","Gleyce Campos Dutra","Universidade Federal de Lavras (UFLA)"
"51","Luis Marcelo Tavares de Carvalho","Universidade Federal de Lavras (UFLA)"
"52","Ary Teixeira de Oliveira Filho","Universidade Federal de Lavras (UFLA)"
"53","Luciano Vieira Dutra","Instituição não informada"
"54","Leila Maria Garcia Fonseca","Instituição não informada"
"55","Thales Sehn Korting","Instituição não informada"
"56","Felipe Castro da Silva","Instituição não informada"
"57","Guaraci Erthal","Instituição não informada"
"58","Luiz Celso Gomes J�nior","Universidade Estadual de Campinas (UNICAMP)"
"59","Claudia Bauzer Medeiros","Universidade Estadual de Campinas (UNICAMP)"
"60","Pablo Souza Grigoletti","Universidade Federal do Rio Grande do Sul (UFRGS)"
"61","Ant�nio Carlos da Rocha Costa","Universidade Federal do Rio Grande do Sul (UFRGS)"
"62","Guillermo Nudelman Hess","Universidade Federal do Rio Grande do Sul (UFRGS)"
"63","Cirano Iochpe","Universidade Federal do Rio Grande do Sul (UFRGS)"
"64","Silvana Castano","Universidade Federal do Rio Grande do Sul (UFRGS)"
"65","Thales Sehn Korting","Instituto Nacional de Pesquisas Espaciais (INPE)"
"66","Guaraci Erthal","Instituto Nacional de Pesquisas Espaciais (INPE)"
"67","Luciano Vieira Dutra","Instituto Nacional de Pesquisas Espaciais (INPE)"
"68","Leila Maria Garcia Fonseca","Instituto Nacional de Pesquisas Espaciais (INPE)"
"69","Felipe Castro da Silva","Instituto Nacional de Pesquisas Espaciais (INPE)"
"70","Carla Geovana do N. Mac�rio","Universidade Estadual de Campinas (UNICAMP)"
"71","Rodrigo Dias Arruda Senra","Universidade Estadual de Campinas (UNICAMP)"
"72","Mirella A. Magalh�es","Universidade Federal de Vi–osa (UFV)"
"73","Salles V. G. Magalh�es","Universidade Federal de Vi–osa (UFV)"
"74","Marcus V. A. Andrade","Universidade Federal de Vi–osa (UFV)"
"75","Jugurta Lisboa Filho","Universidade Federal de Vi–osa (UFV)"
"76","Carlos Eduardo R. de Mello","Universidade Federal do Rio de Janeiro (UFRJ)"
"77","Geraldo Zimbr�o da Silva","Universidade Federal do Rio de Janeiro (UFRJ)"
"78","Jano M. de Souza","Universidade Federal do Rio de Janeiro (UFRJ)"
"79","Marcelo Metello","Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)"
"80","M�rio de S� Vera","Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)"
"81","Leone Pereira Masiero","Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)"
"82","Marcelo Tilio Monteiro de Carvalho","Pontif–cia Universidade Cat–lica do Rio de Janeiro (PUC-Rio)"
"83","Thomaz C. de A. Oliveira","Universidade Federal de Lavras (UFLA)"
"84","Luis M. T. de Carvalho","Universidade Federal de Lavras (UFLA)"
"85","Wilian Soares Lacerda","Universidade Federal de Lavras (UFLA)"
"86","Samuel R. de S. Campos","Universidade Federal de Lavras (UFLA)"
"87","I. C. Reis","Instituto Oswaldo Cruz"
"88","N. A. Hon�rio","Instituto Oswaldo Cruz"
"89","C. T. Code�o","Funda––o Oswaldo Cruz (FIOCRUZ)"
"90","C. Barcellos","Funda––o Oswaldo Cruz (FIOCRUZ)"
"91","M. A. F. M. Magalh�es","Funda––o Oswaldo Cruz (FIOCRUZ)"
"92","Frederico Pereira Reis","Universidade Federal de Lavras (UFLA)"
"93","Luis Marcelo T. de Carvalho","Universidade Federal de Lavras (UFLA)"
"94","Juan C. Vivar","Universidade Federal do Rio de Janeiro (UFRJ)"
"95","Marco A. R. Ferreira","Universidade Federal do Rio de Janeiro (UFRJ)"
