"id_artigo","titulo","abstract","n_paginas","tipo_artigo","lingua","n_edicao"
"1","Reproducible and empirical method refines Fractional Vegetation Cover mapping in urban areas","Fractional Vegetation Cover (Fr) represents the fraction of a surface covered by vegetation, linked to the provision of numerous benefits in urban areas. However, Fr workflow, based on Sentinel-2 images, are rarely accessible to the broader urban practitioners, motivating its development, assessment, and sharing on a web-based platform. The workflow produces refined Fr results through an Empirical resampling process and was analyzed at pixel (10m) and landscape (200m) levels. The Empirical method better distinguishes fully vegetated and non-vegetated areas while preserving fractional properties of borders and mixed landscapes. Its easy reproducibility can encourage urban planners to better monitor and manage urban forests.","","full","english","25"
"2","Potential Effects of Legal Reserve Exclusion on Rural Property Size: A Case Study in the Brazilian Amazon","The Brazilian Forest Code plays a crucial role in balancing environmental conservation and agricultural development. Recent debates challenge its implementation, particularly concerning the legal reserve areas. This study evaluates the potential impact of a legal precedent that could redefine property size classifications by disregarding legal reserve in the calculation of fiscal modules. Using geospatial analysis of Rural Environmental Registry data from the Amazon biome, we assess how this change would alter land classification and its implications. Our findings indicate a significant increase in small properties, potentially granting more properties access to policy benefits designed for smallholders. Such a shift could create legal uncertainties, affecting land tenure regularization, environmental policies, and agricultural financing. This study highlights the need for a careful, evidence-based assessment of legislative changes to ensure sustainable land management and regulatory stability in Brazil.","","full","english","25"
"3","Bill 191/2020: Illegal Mining and Land Use Land Cover Changes in Indigenous Lands","Amazon has the largest tropical rainforest on the planet, where indigenous peoples have managed and preserved this biodiversity heritage for millennia. However, the maintenance of these peoples has been threatened by different factors, mainly the expansion of extractive industries, such as mining. This study evaluates the impact of Mining, by implementing Bill 191/2020. within Indigenous Lands in the Amazon biome, using land use land cover changes detected by remote sensing. The results revealed a sharp increase in the exchange rates to mining in the Yanomami, Munduruku and Kayap� territories. In addition, 4614 ha of vegetation were lost in these territories during the period in which Bill 191/2020 was being processed.","","full","english","25"
"4","Eulerian SIR model for Asymmetric Temporal Commuting Networks: Case Study of Chinese Baidu Mobility Data","SIR models for metapopulations are widely used to study infectious disease spread but often assume static networks or fixed flows. Temporal mobility networks, however, exhibit dynamic variations that impact epidemic propagation. This paper hypothesizes that traditional epidemiological models can be adapted to incorporate dynamic inflows and outflows while preserving population conservation. We adapt a metapopulation SIR model to temporal mobility networks using real mobility data from China (JanuaryFebruary 2020) at the onset of COVID-19. The study examines whether these variations improve epidemic spread modeling. Results suggest that this adaptation may reveal dynamic dissemination patterns that could be overlooked by conventional approaches, highlighting the importance of considering temporal mobility variations in epidemic modeling.","","full","english","25"
"5","Analyzing Accessibility in Large Event Venues Using a Multimodal Transport Network: A Case Study in Belo Horizonte","This paper analyzes accessibility at large event venues in Belo Horizonte using a multimodal transport network. To achieve this, an API was developed to allow the creation of routes within the network and travel-time maps that account for street blockages. These features contribute to tourism advisory and urban planning by identifying low-accessibility areas and improving public transport planning. The main contributions are the proposed application and two study cases presented as proof of concept.","","full","english","25"
"6","Geospatial Optimization of Photovoltaic Plant Locations for Sustainable Energy","The development of solar energy is crucial for a sustainable future. Selecting sites for Photovoltaic (PV) or Agrivoltaic (AV) systems is challenging, as it involves criteria beyond solar irradiation. This study presents a geospatial approach that integrates slope, aspect, land use and land cover, and soil maps to identify the best regions for implementing PV and AV solar power plants. The methodology was successfully applied in Itajub�- MG, Brazil, identifying optimal areas for both distributed and centralized energy generation. This approach is expected to be replicable in other regions by decision-makers seeking sustainable environmental, economic, and social development.","","full","english","25"
"7","Burned Area Detection in Western Amazon: A New Methodological Approach and Performance Comparison","Forest fires disrupt ecosystems worldwide, with severe environmental and social impacts in the Amazon. The MAP region (Madre de Dios-Peru, Acre-Brazil, and Pando-Bolivia) is a fire hotspot, mainly due to deforestation and agropastoral activities. Existing fire detection products often underestimate burned areas, highlighting the need for improved methodologies. This study refines a burned area detection approach by integrating the NBR, NBR2, and MIRBI spectral indices and the NIR band in a double-threshold classification algorithm. Using Landsat-OLI images (2019), we performed classification and validation on Google Earth Engine, analyzing statistical performance with training (70%) and test (30%) sets. Our method achieved 84% accuracy for training sets and 82% for test sets, with 100% precision. Omission errors averaged 20% (training) and 25% (test). The total detected burned area was 2043.3 km�, significantly higher than estimates from global products MCD64A1 (403.6 km�), Global Wildfire (412.7 km�), and Fire CCI v5.1 (553.2 km�). Despite promising results, omission errors should be reduced for more accurate mapping. Future research will extend performance analyses to larger sample sets, optimizing detection thresholds.","","full","english","25"
"8","A multi-criteria spatial model for complex problems","The COVID-19 pandemic has highlighted the importance of health surveillance actions worldwide. Those actions may use heterogeneous data from different data sources. In this context, identifying the risk associated with specific areas is critical to guide decision-making. However, problems arise when evaluating the spatial distributions and potential risks of multiple health aggravations. One of the significant problems explored in the literature is identifying the weights to be given to each health aggravation or data input. This work proposes using a multi-criteria spatial model for identifying risk areas for multiple health aggravations, considering population density, disease geographic distribution patterns, and socio-environmental factors. The results showed that the proposed model captures the spatial association for the entire data set and provides a set of potential risk areas with different characteristics. A decisionmaker can then analyze those maps and choose the one that better represents her decision-making context.","","full","english","25"
"9","Preliminary results with Super-Resolution Convolutional Neural Network algorithm","Super-resolution networks have gained prominence due to their ability to estimate details from low-resolution images. In this sense, this work provides preliminary results with remote sensing images, aiming to analyze the impacts and limitations of a super-resolution convolutional neural network applied to images from the CBERS-4A WPM sensor. We take advantage of the fact that CBERS-4A is a satellite with multiple sensors, that obtains images at the same place, at the same moment, with different spatial resolutions but similar spectral resolutions. This is an exploratory and applied work. For this task, we firstly created a super-resolution dataset, containing 125,892 samples from diverse geographic locations, that was designed to train and evaluate the model. Results obtained were consistent with similar literature, and may guide further works in the area.","","full","english","25"
"10","A Systematic Review on Integrity Constraints for Trajectory Data","This paper presents a systematic review of integrity constraints (ICs) in trajectory data, highlighting their critical role in ensuring data quality and reliability across various applications, including urban planning and transportation. The study examines the methodologies employed in implementing ICs and addresses the integration challenges that arise in managing trajectory data, particularly in instances of Multiple Aspect Trajectories (MATs). Key limitations, such as the lack of standardized ICs and empirical validation in real-world scenarios, are identified. The findings aim to highlight the need for improved strategies to address this complexity, thereby improving trajectory data management and boosting its overall quality.","","full","english","25"
