"id_artigo","titulo","abstract","n_paginas","tipo_artigo","lingua","n_edicao"
"1","Interpoladores Espaciais para Gera��o de Superf�cies de Densidade Populacional na Amaz�nia Brasileira: problemas e perspectivas","RESUMO.  Este documento descreve um estudo de interpoladores espaciais para aplica��o no desenvolvimento de superf�cies de densidade populacional na Amaz�nia Brasileira. Os principais problemas de representa��o populacional na Amaz�nia s�o levantados e uma revis�o da literatura apresenta os interpoladores mais utilizados para gerar superf�cies de densidade populacional. Discute-se a aplicabilidade destes modelos para gera��o de superf�cie na regi�o e apresenta-se uma proposta para uso adaptativo dos m�todos em fun��o da escala de trabalho e divis�o territorial, procurando identificar os interpoladores mais adequados. ABSTRACT.  This paper describes an on-going research on spatial interpolators for population density surfaces generation in the Amazonia region. The main problems related to the spatial representation of population distribution over Amazonia are identified. A literature review presented the interpolation methods frequently used to place population data in space, and the methods are discussed considering the Amazonian specific characteristics. Finally, an adaptive procedure is proposed where the more suitable interpolators are indicated according to the scale, the territorial division adopted and the set of data available.","","","portuguese","4"
"2","An exact algorithm for point location on spherical maps","We describe here an exact, and hence robust, algorithm for point location on spherical maps (maps on the sphere composed by arcs of circles, not necessarily geodesic ones). The algorithm relies on an exact representation for arcs of circles on the sphere, based on integer homogeneous coordinates, and exact geometric operations for such arcs. The topology of the map is represented by a specialized data structure (SMC | spherical map by corners) that supports fairly general map topologies, including closed edges without endpoints (ovals), isolated vertices, and faces with multiple borders. This framework makes it possible the construction of robust geographical information systems (GIS) and reliable algorithms for robotics, computer graphics, and other areas.","","","english","4"
"3","Representando esquemas de bancos de dados geogr�ficos no formato atributo-valor para a infer�ncia de padr�es de an�lise","Geographic Information Systems (GIS) have been so much used as planning and decision support tools in different knowledge areas. Its implementation is complex mainly due to the design of the Geographic Database (GDB). The construction of an analysis patterns catalogue would extremely help this task. An alternative to obtain analysis patterns candidates is the Data Mining (DM) algorithms application over GDB conceptual schemas. This solution requires conceptual schemas preparation for use them as input data in DM commercial tools, as such the application and model semantics preservation be guaranteed. Based on this context, this paper presents a proposal for conceptual schemas preparation process and an attribute-value format representation technic, with the objective of inferring GDB analysis patterns candidate to auxiliary GIS construction.","","","portuguese","4"
"4","Querying large geo image databases: a case study","Online services based on extremely large volumes of aerial and satellite imagery are becoming more and more important, being established both by public authorities and private providers.Technically, the requirement is to store raster arrays of multi-Terabyte sizes and to offer flexible, efficient support for extracting rectangular cutouts and performing raster operations such as zooming, overlaying, channel extraction, and derivation of value-added information like vegetation index. Usually such image servers today are implemented file based, because standard DBMSs currently do not give adequate query support for the functionality sketched.  Providing maps and aerial imagery of Bavaria is the task of the Bavarian Land Survey Authority. The state of Bavaria covers 20% of the area of Germany; its aerial photo coverage consists of 13,500 images. As the first German state, Bavaria has set up a database server for web-bases raster image access recently, based on a combination of the array database middleware RasDaMan and Oracle. Tea seamless aerial image, which has been compressed losslessly, occupies about 700 GB on disk. In this contribution we present design rationales, server architecture, and first experience.","","","english","4"
"5","Uso da regress�o n�o linear para infer�ncia de variogramas em suportes amostrais distintos um estudo para a fam�lia exponencial","The change of support has been thoroughly discussed within the geostatistical community, being considered one of its most relevant problems, owing to the implications in petroleum and ore reserve estimation. Among the precursor and favorite methods for dealing with this problem are both the Affine Correction, applicable to normally distributed populations, and the Generalized Lognormal Permanence, for other continuous populations. Afterwards nonlinear estimation methods were developed such as the Disjunctive Kriging of Isofactorial Models, valid for discrete and continuous distributions, and the Estimation of Local Conditional Distribution through Indicators . This work turned back to the precursor approaches to the change of support problem, which had attempted to establish regression models between point and regularized variables. However, instead of searching for a regression between variables, a non-linear dependence was found between the support size and the parameters of the semivariogram. We successfully found a good adjustment for the spherical model (ALMEIDA, BRAGA & BETTINI 2001). In this paper we propose a regression model between the parameters of the exponential family derived from the Mat�rn model and the support dimensions: The scaling factor 3 is chosen so that que semivariogram at v = 0 is 1-e-3 ≅ 0.05 . When v=2 the semivariogram is called the Gaussian semivariogram model. Note that v=0 corresponds to a white noise process. These semivariograms gradually change shape for different values of v, producing sigmoidal or S-shaped curves for v near 2. Besides that, we know that the change of support also induces an S-shaped semivariogram. Numerous mathematical functions have been proposed for modeling sigmoidal curves. We opted for a model derived from the Weibull family , Y = α - β exp (-γXδ), (RATKOWSKY 1983). In this paper we restricted ourselves to an unidimensional support l and to arguments h>>l. The calculation of the regression parameters was performed through the function NLM of the freeware package R, (VENABLES & SMITH 2002). The mean and the regularized semivariograms were obtained through numerical integration and through regression. Finally some conclusions and future research steps are presented.","","","portuguese","4"
"6","Teoria dos sistemas nebulosos aplicada a Sistemas de Informa��o Geogr�fica para defini��o de roteiro","Nowadays the urban space is changing quickly and this fact demands the use of a Geographic Information System (GIS) to optimize the decision making process of the urban planners. The analyses that are carried out in the definition of interventions in urban space require large variety of information, in different levels of complexity, and several of them are fuzzy. In this paper, Fuzzy Systems Theory is applied to model and to analyze spatial information. Some concepts and methods of the theory were inserted in a GIS to solve urban planning problems in order to evaluate the impact of fuzzy data analysis. The results achieved shows that application of the theory in the GIS is efficient to decision-making process of the urban planning and allow a more rational and realistic spatial analysis. RESUMO: Em um problema real de an�lise do espa�o urbano, na maioria das vezes os dados s�o subjetivos (qualitativos, imprecisos). Entretanto, as t�cnicas utilizadas nos modelos convencionais de Sistemas de Informa��o Geogr�fica (GIS) permitem o trabalho com dados desta natureza recorrendo-se a uma s�rie de simplifica��es. Visando buscar alternativas para a solu��o deste tipo de problema esta pesquisa investigou a aplicabilidade da Teoria dos Sistemas Nebulosos (TSN) em GIS. Com base nos conceitos na TSN, implementou-se sistemas para an�lise do espa�o urbano, atrav�s do desenvolvimento de m�todos para a modelagem e an�lise de dados subjetivos nestes estudos. Os resultados encontrados mostram que a aplica��o da TSN em GIS � eficiente para o processo de tomada de decis�o no planejamento urbano e que permite uma an�lise espacial mais pr�xima da realidade.","","","portuguese","4"
"7","The design of XPAE: an emergency plan definition language","The decisions that guided the design of XPAE, a plan definition language, are discussed. The language is one of the major building blocks of InfoPAE 4.0, an emergency plan deployment system. The language presupposes that a plan will be written as an XML document, a strategy that has well-known benefits. The overall architecture of InfoPAE 4.0 is also sketched and a brief explanation about how the language elements help achieve the desired functionality is included. The design of XPAE builds on the experience accumulated during the last two years with the implementation of a large number of emergency plans using the current version of the tool.","","","english","4"
"8","Simulador da din�mica espacial com representa��o em um ambiente SIG","This paper describes the concept and implementation of a spatial analysis model of urban growth based in spatial interactions and proximity measures. The process aims at building a system that is able to simulate urban evolution using a Geographic Information System (GIS) representation and integrating urban and ambiental elements. As the means to bring this model to life, Graph theory, Cellular Automata and Object Oriented development techniques are extensibly used.","","","portuguese","4"
"9","GeoBR: interc�mbio sint�tico e sem�ntico de dados espaciais","The exchange of geographical data is an important problem and of difficult treatment. The most common approach is just about the direct syntactic conversion that presents a series of problems. This work presents an analysis of the different approachs proposals for the problem of Interoperability, covering the syntactic and semantic level through the use of metadata, ontologies and languages based on the XML standard. It is also presented how the format GeoBR can promote the interoperability in semantic level.","","","portuguese","4"
"10","Desenvolvimento de uma ferramenta CASE para o modelo UML-GeoFrame com suporte para padr�es de an�lise","This paper describes the development of CASEGEO, a Computer Aided Software Engineering Tool (CASE tool) for supporting geographic database design, which is based on the UML-GeoFrame model. Rules are presented for mapping from UML-GeoFrame schemes into ArcView`s logical representation. Finally, the paper shows as CASEGEO could be used for specification and reuse of analysis patterns.","","","portuguese","4"
"11","Tryfona+: um framework estendido para modelar fen�menos espa�o-temporais","In this paper, we describe an extension of a framework proposed to model spatio-temporal phenomena. The original framework has been extended for the modeling of recursive phenomena and the phenomena history in order to detect risk situations, such as meteorological risks. Through a case study to control risk areas of land slippings, we demonstrate how rain and storm phenomena can be represented in the extended framework in an urban environment.Tryfona+ is the name of the extended framework.","","","portuguese","4"
