"id_autoria","id_artigo","id_pessoa","ordem_autoria","autor_correspondente"
"1","1","1","1","TRUE"
"2","1","2","2","FALSE"
"3","1","3","3","FALSE"
"4","1","4","4","FALSE"
"5","1","5","5","FALSE"
"6","1","6","6","FALSE"
"7","1","7","7","FALSE"
"8","1","8","8","FALSE"
"9","2","9","1","TRUE"
"10","2","10","2","FALSE"
"11","3","9","1","TRUE"
"12","3","11","2","FALSE"
"13","3","12","3","FALSE"
"14","4","13","1","TRUE"
"15","4","14","2","FALSE"
"16","5","15","1","TRUE"
"17","5","16","2","FALSE"
"18","5","17","3","FALSE"
"19","5","18","4","FALSE"
"20","5","19","5","FALSE"
"21","6","20","1","TRUE"
"22","6","21","2","FALSE"
"23","6","22","3","FALSE"
"24","7","23","1","TRUE"
"25","7","24","2","FALSE"
"26","7","25","3","FALSE"
"27","8","16","1","TRUE"
"28","8","26","2","FALSE"
"29","8","27","3","FALSE"
"30","8","28","4","FALSE"
"31","9","29","1","TRUE"
"32","9","30","2","FALSE"
"33","10","31","1","TRUE"
"34","10","32","2","FALSE"
"35","10","33","3","FALSE"
"36","10","27","4","FALSE"
"37","10","16","5","FALSE"
"38","11","34","1","TRUE"
"39","11","16","2","FALSE"
"40","11","35","3","FALSE"
"41","12","36","1","TRUE"
"42","12","37","2","FALSE"
"43","12","38","3","FALSE"
"44","12","39","4","FALSE"
"45","12","40","5","FALSE"
"46","12","41","6","FALSE"
"47","13","42","1","TRUE"
"48","13","43","2","FALSE"
"49","13","44","3","FALSE"
"50","13","45","4","FALSE"
"51","14","46","1","TRUE"
"52","14","47","2","FALSE"
"53","14","48","3","FALSE"
"54","14","49","4","FALSE"
"55","15","50","1","TRUE"
"56","15","51","2","FALSE"
"57","15","52","3","FALSE"
"58","16","53","1","TRUE"
"59","16","54","2","FALSE"
"60","16","55","3","FALSE"
"61","19","56","1","TRUE"
"62","19","57","2","FALSE"
"63","19","58","3","FALSE"
"64","19","33","4","FALSE"
"65","20","59","1","TRUE"
"66","20","60","2","FALSE"
"67","21","61","1","TRUE"
"68","21","62","2","FALSE"
"69","21","63","3","FALSE"
"70","22","64","1","TRUE"
"71","22","65","2","FALSE"
"72","22","66","3","FALSE"
"73","23","67","1","TRUE"
"74","23","68","2","FALSE"
"75","23","69","3","FALSE"
"76","24","70","1","TRUE"
"77","24","71","2","FALSE"
"78","25","72","1","TRUE"
"79","25","22","2","FALSE"
"80","26","73","1","TRUE"
"81","26","74","2","FALSE"
"82","27","75","1","TRUE"
"83","27","76","2","FALSE"
"84","27","77","3","FALSE"
"85","28","78","1","TRUE"
"86","28","79","2","FALSE"
"87","28","80","3","FALSE"
"88","29","81","1","TRUE"
"89","29","82","2","FALSE"
