"id_artigo","titulo","abstract","n_paginas","tipo_artigo","lingua","n_edicao"
"1","Modelling spatial relations by generalized proximity matrices","One of the main challenges for the development of spatial information theory is the formalization of the concepts of space and spatial relations. Currently, most spatial data structures and spatial analytical methods used in GIS embody the notion of space as a set of absolute locations in a Cartesian coordinate system, thus failing to incorporate spatial relations, which are dependent on topological connections and fluxes between physical or virtual networks. To answer this challenge, we introduce the idea of a generalized proximity matrix (GPM), an extension of the spatial weights matrix where the weights are computed taking into account both absolute space relations such as Euclidean distance or adjacency and relative space relations such as network connection. Using the GPM, two geographic objects (e.g. municipalities) are """"near"""" each other if they are connected through a transportation or telecommunication network, even if thousands of kilometers apart or, using even more abstract concepts, if they are part of the same productive chain in a given economical activity. The generalized proximity matrix allows the extension of spatial analysis formalisms and techniques such as spatial autocorrelation indicators and spatial regression models to incorporate relations on relative space, providing a new way for exploring complex spatial patterns and non-local relationships in spatial statistics. The GPM can also be used as a support for map algebra operations and cellular automata models.","","","english","5"
"2","An early warning system for space-time cluster detection","A new topic of great relevance and concern has been the design of efficient early warning systems to detect as soon as possible the emergence of spatial clusters. In particular, many applications involving spatial events recorded as they occur sequentially in time require this kind of analysis, such as fire spots in forest areas as in the Amazon, crimes occurring in urban centers, locations of new disease cases to prevent epidemics, etc. We propose a statistical method to test for the presence of space-time clusters in point processes data, when the goal is to identify and evaluate the statistical significance of localized clusters. It is based on scanning the threedimensional space with a score test statistic under the null hypothesis that the point process is an inhomogeneous Poisson point process with space and time separable first order intensity. We discuss an algorithm to carry out the test and we illustrate our method with space-time crime data from Belo Horizonte, a large Brazilian city.","","","english","5"
"3","The web as a data source for spatial databases","With the phenomenal growth of the WWW, rich data sources on many different subjects have become available online. Some of these sources store daily facts that often involve textual geographic descriptions. These descriptions can be perceived as indirectly georeferenced data - e.g., addresses, telephone numbers, zip codes and place names. Under this perspective, the Web becomes a large geospatial database, often providing up-to-date local or regional information. In this work we focus on using the Web as an important source of urban geographic information and propose to enhance urban Geographic Information Systems (GIS) using indirectly georeferenced data extracted from the Web. We describe an environment that allows the extraction of geospatial data from Web pages, converts them to XML format, and uploads the converted data into spatial databases for later use in urban GIS. The effectiveness of our approach is demonstrated by a real urban GIS application that uses street addresses as the basis for integrating data from differentWeb sources, combining these data with high-resolution imagery.","","","english","5"
"4","Uma an�lise de desempenho dos m�todos SCAN e BESAG&NEWELL na detec�o de conglomerados espaciais","Este artigo prop�e uma an�lise comparativa dos m�etodos SCAN e BESAG&NEWELL definidos como testes gen�ricos de conglomerados espaciais. O objetivo do trabalho � explorar as peculiaridades de cada m�todo avaliando o seu desempenho e o seu poder de identifica��o. O m�todo BESAG&NEWELL necessita do ajuste de par�ametros por parte do usu�rio, sendo sens�vel � escolha dos mesmos. O resultado final � apresentado em um formato visual. O m�todo SCAN incorpora os par�ametros cruciais a uma func�o de verossimilhan�a, permitindo obter uma estat�stica para o teste bem como um n�vel de signific�ncia via Monte Carlo. O presente trabalho procura descrever de forma alternativa o m�todo de BESAG&NEWELL incorporando seus par�metros a uma fun��o de custo que deve ser minimizada sob a regi�ao de estudo. Dessa forma, � poss�vel avaliar o desempenho do m�todo de BESAG&NEWELL em rela��o ao m�todo SCAN.","","","portuguese","5"
"5","A flexible addressing system for approximate geocoding","One of the most important features in an urban geographic information system is the ability to locate addresses, in any form employed by the population, in a quick and efficient way. From an organized set of georeferenced address data, local governments, infrastructure companies, and the various agents that need to work in urban spaces can reliably and precisely locate points of their interest, in fields of application as diverse as public health services, crime fighting, product distribution, postal delivery and many others. This activity is known as geocoding, which can be defined as the process of locating points on the surface of the Earth from alphanumeric addressing data associated to events. This paper shows how geocoding can be implemented over incomplete and possibly inaccurate addressing data (which is the prevailing situation in Brazilian cities) and how users can benefit from the results of such a process. A geocoding quality indicator is proposed, with the intention of providing an indication of the degree of certainty that is associated with each individual result of the geocoding process. This indicator can then be used in spatial analysis, by giving analysts the opportunity to include the uncertainty associated with the data in their work. This project is under development, and a set of (as yet unimplemented) geocoding tools is proposed and described in the paper.","","","english","5"
"6","The architecture of a mobile emergency plan deployment system","This paper describes the implementation of a workflow management system to support mobile GIS workgroup applications and highlights the design of the workflow definition language the system offers. The system features a hierarchical execution model in which each instance is able to delegate the execution of sub-workflows to other active instances. It incorporates instance discovery and event handling services, that enhance the proper treatment of disconnections, and adopts an optimist replication strategy to handle workflow context variables. The workflow definition language features special constructors that improve the legibility of large workflow definitions. The results reported here build on the experience accumulated with the implementation and deployment of an emergency management application that offers action plans, easy access to geographic data and tight control over the resources allocated to face an emergency.","","","english","5"
"7","Interface para opera��es espaciais em banco de dados geogr�ficos","This work presents a generic programming interface, or API (Application Programming Interface), for spatial operations in geographical database developed in the TerraLib environment - a base library for construction of geographical applications with integrated architecture. This API provides operations on geographical data stored in relational DBMS (RDBMS) and object-relational DBMS (ORDBMS). In the case of a new generation of ORDBMS which has a spatial extent, like Oracle Spatial, the API explores at most its resources to treat geographical data, for example, spatial indexes, operators and functions to manipulate and query these data through the query language SQL. The supplied operations of this API can be grouped as: (1) operations over vector data, for example, topological and metrical relation query, generation of a new geometry through a distance around an specific geometry (buffer), and set operations (intersection, union and difference); and (2) operations over raster data, as zonal operation and clipping based in a mask.","","","portuguese","5"
"8","GMLA: a XML schema for integration and exchange of multidimensional-geographical data","The integration among DW, OLAP and GIS has been given considerable attention in recent years by many researchers and industrial corporations. This may be a result of: 1) DW/OLAP can improve GIS spatial queries whereas, 2) a GIS can provide better support to deal with the DW/OLAP geographic data. Some research about this integration has already been done. However, these approaches do not deal with open and extensible solutions. In order to address this problem, we use the GOLAPA architecture, which follows Java, XML and Web Service technologies. Based on this architecture, this paper proposes GML for Analysis (GMLA), which provides a XML format to integrate and interchange geographical multidimensional data. GMLA is based on OLAP and GIS XML standards, namely XML for Analysis (XMLA) and Geography Markup Language (GML), respectively.","","","english","5"
"9","Estendendo o algoritmo Partition Based Spatial Merge Join com parti��es adapt�veis","The spatial join operation matches two sets of geometric descriptions by means of a geometric predicate. This work concentrates in algorithms based in space subdivision, presenting a new algorithm, based on PBSM, called PBSM-NRQB (No-Replication, Quadtree, Bucket). This algorithm uses statistical information, maintained in quadtrees, to adapt the space partitioning to object distribution and uses a file organization, based in buckets to store object descriptors in a more convenient way. The comparison with others algorithms in literature are made by performance analysis and experimental results obtained using synthetic and real data sets, showing that the algorithm is very competitive in all the situations, reducing the number of I/O operations and response time in almost every case.","","","portuguese","5"
"10","Explorando a multidimensionalidade da Kd-tree para suporte a temporalidade em dados espaciais vetoriais do tipo ponto","The representation of time in geographic information systems (GIS) has been subject of intense investigation in late years. Actual research involves from modeling techniques for spatio-temporal representation of reality to spatio-temporal data structures and file organizations. In this paper, we propose to explore the multidimensional structure of both the Kd-Tree and the Adaptive Kd-Tree in order to keep the validation time or transaction time of the points stored in them.","","","portuguese","5"
