"id_pessoa","nome","instituicao"
"1","Bello Abubakar Abubakar","Nigerian Defence Academy"
"2","Sani Abubakar Abubakar","Kaduna Polytechnic"
"3","Dami�o Ribeiro de Almeida","Universidade Federal de Campina Grande (UFCG)"
"4","Aillkeen Bezerra de Oliveira","Universidade Federal de Campina Grande (UFCG)"
"5","Samuel Pereira de Vasconcelos","Universidade Federal de Campina Grande (UFCG)"
"6","F�bio Gomes de Andrade","Instituto Federal da Para–ba (IFPB)"
"7","Cl�udio de Souza Baptista","Universidade Federal de Campina Grande (UFCG)"
"8","Juliana de Abreu Ara�jo","Instituto Nacional de Pesquisas Espaciais (INPE)"
"9","Allan Henrique Lima Freire","Instituto Nacional de Pesquisas Espaciais (INPE)"
"10","Ricardo Dal'Agnol da Silva","Instituto Nacional de Pesquisas Espaciais (INPE)"
"11","L�nio Soares Galv�o","Instituto Nacional de Pesquisas Espaciais (INPE)"
"12","Filipe Junio S. Coelho","Universidade Federal de S–o Jo–o Del Rei (UFSJ)"
"13","Marconi de Arruda Pereira","Universidade Federal de S–o Jo–o Del Rei (UFSJ)"
"14","Clodoveu Augusto Davis J�nior","Universidade Federal de Minas Gerais (UFMG)"
"15","Nat� G. Silva","Universidade Federal de S–o Jo–o Del Rei (UFSJ)"
"16","Telles T. da Silva","Universidade Federal de S–o Jo–o Del Rei (UFSJ)"
"17","Igor Jos� Malfetoni Ferreira","Instituto Nacional de Pesquisas Espaciais (INPE)"
"18","Debora Cristina Cantador","Instituto Nacional de Pesquisas Espaciais (INPE)"
"19","Luiz Eduardo Oliveira e Cruz de Arag�o","Instituto Nacional de Pesquisas Espaciais (INPE)"
"20","Laszlo K. Nagy","Universidade Estadual de Campinas (UNICAMP)"
"21","Leandro L. S. Fran�a","Instituição não informada"
"22","Julierne Pinheiro","Instituição não informada"
"23","Joel B. Passos","Instituição não informada"
"24","Jos� Luiz Portugal","Instituição não informada"
"25","Vin�cius L. S. Gino","Universidade Estadual Paulista (UNESP)"
"26","Rog�rio G. Negri","Universidade Estadual Paulista (UNESP)"
"27","Felipe N. Souza","Universidade Estadual Paulista (UNESP)"
"28","Heron Carlos Gon�alves","Universidade Tecnol–gica Federal do Paran– (UTFPR)"
"29","Anderson Chaves Carniel","Universidade Federal de S–o Carlos (UFSCar)"
"30","Marjorie M. Guarenghi","Universidade Estadual de Campinas (UNICAMP)"
"31","Jo�o Lu�s Santos","GeoMeridium"
"32","Arnaldo Walter","Universidade Estadual de Campinas (UNICAMP)"
"33","Jansle V. Rocha","Universidade Estadual de Campinas (UNICAMP)"
"34","Joaquim E. A. Seabra","Universidade Estadual de Campinas (UNICAMP)"
"35","Nath�lia D. B. Vieira","Universidade Estadual de Campinas (UNICAMP)"
"36","Desir�e Damame","Universidade Estadual de Campinas (UNICAMP)"
"37","Pedro Vitor Duarte Guimar�es","Universidade Federal de S–o Jo–o Del Rei (UFSJ)"
"38","Emmanuel Kennedy da Costa Teixeira","Universidade Federal de S–o Jo–o Del Rei (UFSJ)"
"39","Mario Arthur Sclafani Pujatti","Universidade Federal de Minas Gerais (UFMG)"
"40","Mateus de Souza Miranda","Instituto Nacional de Pesquisas Espaciais (INPE)"
"41","Renato de Sousa Maximiano","Instituto Nacional de Pesquisas Espaciais (INPE)"
"42","Valdivino Alexandre de Santiago J�nior","Instituto Nacional de Pesquisas Espaciais (INPE)"
"43","Thales Sehn K�rting","Instituto Nacional de Pesquisas Espaciais (INPE)"
"44","Leila Maria Garcia Fonseca","Instituto Nacional de Pesquisas Espaciais (INPE)"
"45","T�hrrie Caroline Konig Ferraz Pacheco","Instituto Nacional de Pesquisas Espaciais (INPE)"
"46","Hermann Johann Heinrich Kux","Instituto Nacional de Pesquisas Espaciais (INPE)"
"47","Alessandra C. Corsi","Instituto de Pesquisas Tecnol–gicas (IPT)"
"48","Karine Pinheiro","Universidade Federal de Vi–osa (UFV)"
"49","Gabriela Gouveia Lana","Universidade Federal de Vi–osa (UFV)"
"50","Laura Andrade","Universidade Federal de Vi–osa (UFV)"
"51","�talo Oliveira Ferreira","Universidade Federal de Vi–osa (UFV)"
"52","Van�cia Schumacher","Instituto Nacional de Pesquisas Espaciais (INPE)"
"53","Marco Aur�lio Barros","Instituto Nacional de Pesquisas Espaciais (INPE)"
"54","Marcos A. S. da Silva","Embrapa Tabuleiros Costeiros"
"55","Leonardo N. Matos","Universidade Federal de Sergipe (UFS)"
"56","Fl�vio Emanuel de O. Santos","Universidade Federal de Sergipe (UFS)"
"57","F�bio R. de Moura","Universidade Federal de Sergipe (UFS)"
"58","M�cia H. G. Dompieri","Embrapa Territorial"
"59","Philipe Souza Sim�es","Instituto Nacional de Pesquisas Espaciais (INPE)"
"60","Marionei Fomaca de Sousa J�nior","Instituto Nacional de Pesquisas Espaciais (INPE)"
"61","T�nia Beatriz Hoffmann","Instituto Nacional de Pesquisas Espaciais (INPE)"
"62","Sidnei Jo�o Siqueira Sant'Anna","Instituto Nacional de Pesquisas Espaciais (INPE)"
"63","Yosio Edemir Shimabukuro","Instituto Nacional de Pesquisas Espaciais (INPE)"
"64","Hugo do Nascimento Bendini","Instituto Nacional de Pesquisas Espaciais (INPE)"
"65","Luccas Z. Maselli","Universidade Estadual Paulista (UNESP)"
"66","Kau� de Moraes Vestena","Universidade Federal do Paran– (UFPR)"
"67","Nathan Damas Antonio","Universidade Federal do Paran– (UFPR)"
"68","Gabriela Padilha","Universidade Federal do Paran– (UFPR)"
"69","Cyntia Virolli Cid Molina","Universidade de S–o Paulo (USP)"
"70","Ariely Mayara de Albuquerque Teixeira","Universidade Federal de Pernambuco (UFPE)"
"71","Silvana Phillippi Camboim","Universidade Federal do Paran– (UFPR)"
"72","Julia Corr�a C�rtes","Universidade Estadual de Campinas (UNICAMP)"
"73","Jos� Diego Gobbo Alves","Universidade Estadual de Campinas (UNICAMP)"
"74","�lvaro de Oliveira D'Antona","Universidade Estadual de Campinas (UNICAMP)"
"75","Erasumus zu Ermgassen","UCLouvain"
"76","Vivian Ribeiro","Stockholm Environment Institute"
"77","Patrick Meyfroidt","UCLouvain"
"78","Samoel Giehl","Universidade Federal do Paran– (UFPR)"
"79","Regiane Dalazoana","Universidade Federal do Paran– (UFPR)"
"80","T�lio Alves Santana","Instituto Federal de Mato Grosso (IFMT)"
"81","Aline Daniele Jacon","Instituto Nacional de Pesquisas Espaciais (INPE)"
"82","Maria Isabel Sobral Escada","Instituto Nacional de Pesquisas Espaciais (INPE)"
"83","Peter Krauss","Instituto de Tecnologias Geo-Sociais AddressForAll"
"84","Luis Felipe Bortolatto da Cunha","Universidade Federal do ABC (UFABC)"
"85","Thierry Jean","Instituto de Tecnologias Geo-Sociais AddressForAll"
"86","Thainara Munhoz Alexandre de Lima","Instituto Nacional de Pesquisas Espaciais (INPE)"
"87","Romulo Marques Carvalho","Instituto Nacional de Pesquisas Espaciais (INPE)"
"88","Ueslei Adriano Sutil","Instituto Nacional de Pesquisas Espaciais (INPE)"
