"id_artigo","titulo","abstract","n_paginas","tipo_artigo","lingua","n_edicao"
"1","Monitoring the spatiotemporal dynamics of surface water area of Goronyo Reservoir Sokoto, Nigeria using remote sensing","Water stored in dams and reservoirs is essential element for hydrological cycle and other human activities like irrigation farming, fishing and transportation. Reservoirs in arid and semi-arid environments tend to change in volume and area extent over time as a result of natural and human factors causing water shortage. This study examines the spatiotemporal changes of Goronyo reservoir, Nigeria from 2000-2020. Landsat imageries were used to extract the surface water area using Modified Normalised Difference Water Index (MNDWI). The changes in the spatial and temporal pattern of the surface water over were obtained by calculating the differences in the surface area over the study period (2000-2020). The results show a continuous decrease in the surface water indicating loss of water. The surface area changed from 105.24km2 (98.35%) in 2000 to 72.01km2 (67.30%) with a total constriction of 33.22km2 (46.13%). Increase in temperature and evaporation and anthropogenic activities are the major factors responsible for the changes. Planting of trees around the water and dredging the silt to restore the water to its full capacity will mitigate the high rate of water loss for sustainable socio-economic development.","","full","english","22"
"2","Towards an analytical and operational trajectory framework","In recent years, many research works involving trajectories have focused on information representation, storage, semantic data enrichment, transaction processing, and analytics. Moving objects include the modeling of person, animal, vehicle, vessels, airplanes, and natural phenomenon trajectories. Trajectory OLAP systems use DataWarehousing concepts to provide diagnostic, predictive, and prescriptive analytics on moving objects. On the other hand, trajectory OLTP systems provide descriptive analytics on moving objects. Both systems deal with data streaming as object location changes through time. In order to encompass both requirements of trajectory processing and analytics systems, we propose in this paper a Trajectory Analytical and Operational framework. Our framework enables the processing of continuous queries both at operational and analytical levels, providing results in real-time. RESUMO: Nos �ultimos anos, muitos trabalhos de pesquisa envolvendo trajet �orias focaram na representac� ao de informac� oes, armazenamento, enriquecimento de dados semanticos, processamento de transac� oes e an�alise dos dados. Objetos m�oveis incluem a modelagem de trajet�orias de pessoas, animais, ve�ıculos, navios, avioes e fenomenos naturais. Os sistemas OLAP de trajet�orias usam conceitos de Data Warehousing para fornecer diagn�osticos, an�alise preditiva e prescritiva sobre objetos m�oveis. Por outro lado, os sistemas OLTP de trajet�orias fornecem an�alise descritivas sobre objetos m�oveis. Ambos os sistemas lidam com o fluxo de dados conforme a localizac� ao do objeto muda ao longo do tempo. Visando os requisitos de sistemas de processamento e an�alise de trajet�orias, propomos neste artigo um framework Anal�ıtico e Operacional de Trajet�orias. Nosso framework permite o processamento de consultas cont�ınuas tanto em n�ıvel operacional quanto anal�ıtico, fornecendo resultados em tempo real.","","full","english","22"
"3","Mapping irrigated rice using MSI/Sentinel-2 time series of vegetation indices and Random Forest","The State of Rio Grande do Sul is the largest producer of irrigated rice in Brazil. The goal of this study was to use a time series of MSI/Sentinel-2 vegetation indices (VIs), such as Normalized Difference Vegetation Index  NDVI; and Normalized Difference Water Index  NDWI, to extract metrics of irrigated rice cultivation in the municipality of Uruguaiana-RS and map this crop in the 2019/2020 period using Random Forest (RF). Our methodology generated maps with a systematic and cost-efficient benefit for mapping rice between the 2019/2020 period (with a 96,5% of overall classification accuracy), showing consistency with those of available maps from official institutions, and for predicting production in the 2020/2021 period.","","full","english","22"
"4","Study on changing trends in climatic extremes in the Brazilian territory","It is noticeable that the climate trends are changing over time. The effects of this phenomenon are felt and commented on by the entire population, mainly when there is an increase in climatic extremes, for example, in the maximum or minimum temperature of a given year. Thus, this work presents a study on trends in extreme climate indices in 11 different regions of Brazil. These indicators measure, for example, the percentage of hot days and hot nights, the maximum, minimum and average temperatures, in addition to the total annual precipitation and consecutive very wet / rainy days. Data from each Brazilian climatic regions, from 1961 to 2019, were used. Statistical tests were used to indicate not only the existence of trends (increasing or decreasing), but also the confidence interval of these trends, as well as the value of the increase. The results indicate a trend of significant increases in the percentage of hot days and hot nights, increase in maximum, minimum and average temperatures in the different regions studied. Some seasons of the year showed changes in precipitation events, increasing the concentration of rain in short periods, besides an increase in the number of consecutive days without precipitation.","","full","english","22"
"5","Effects of landscape fragmentation in the Protected Area of the Parque Estadual de Campos do Jord�o - SP","Tropical forest remnants play an important role as carbon sinks. Landscape-scale studies are important to understand how landscape structure and its elements are related to patterns of carbon stocks and biodiversity. The results can contribute to improved management of protected areas that have been affected by planting of exotic tree species. In this work, we used landscape metrics and estimated the loss of carbon sequestration potential in newly formed edges in a scenario of removing of planted stands of various species of Pinus in a protected area in south-eastern Brazil. Our results showed that the removal of Pinus stands is expected to lead, at first, to a loss of carbon sequestration by native forest stands at the newly created edges, especially in the first five years following the removal of the stands with exotic tree species.","","full","english","22"
"6","TopoGeo: a data model for elaboration of cadastral survey plans and land register documents","The deed description and the survey plan properly georeferenced in a geodetic system are essential items in the process of demarcation of urban or rural properties and land tenure regularization. Although there are several regulatory instructions for carrying out the survey of these properties, there is still no standardization regarding the storage of the land surveying collected data, as well as in the process of preparing its technical documentations. In order to meet this need, TopoGeo modelling was developed in this work, being implemented in Geopackage, a format developed by the Open Geospatial Consortium (OGC), as it is considered a suitable repository for the storage in a GIS the geographic features of a property, when compared to CAD formats like DWG and DXF. The Python programming language, on the other hand, made the use of this model more flexible and enhanced in QGIS, allowing it to perform specific tasks demanded by each type of work. This article, therefore, aims to present the TopoGeo model, describing its main feature classes and demonstrate the possibilities of application in QGIS with the use of the LF Tools plugin for the preparation of the necessary documentation for the land regularization process. Such implementations have ensured a better standardization for sharing the land surveying collected data, greater efficiency, better quality and, mainly, the reduction of costs with software licenses. The method developed in this work has already been applied in Brazil and can also be applied or adapted to other countries specifications. RESUMO: O memorial descritivo e a planta topogr�fica devidamente georreferenciados a um Sistema Geod�sico s�o itens essenciais no processo de demarca��o de im�veis urbanos ou rurais e regulariza��o fundi�ria. No Brasil, embora existam diversas instru��es normativas para a realiza��o do levantamento topogr�fico dessas propriedades, ainda n�o h� uma padroniza��o quanto ao armazenamento dos dados levantados topogr�fico, bem como no processo de elabora��o de suas documenta��es t�cnicas. Para atender a essa necessidade, a modelagem TopoGeo est� sendo apresentada neste trabalho, sendo implementada em Geopackage, um formato desenvolvido pelo Open Geospatial Consortium (OGC), por ser considerado um reposit�rio mais adequado para o armazenamento em um SIG das fei��es geogr�ficas de um im�vel, quando comparada a formatos CAD como DWG e DXF. A linguagem de programa��o Python, por outro lado, tornou o uso deste modelo mais personaliz�vel no QGIS, permitindo a realiza��o de tarefas espec�ficas para cada tipo de trabalho. Este artigo, portanto, tem como objetivo apresentar o modelo TopoGeo, descrevendo suas principais classes de fei��es e demonstrar as possibilidades de aplica��o no QGIS com a utiliza��o do plugin LF Tools para a prepara��o da documenta��o necess�ria ao processo de regulariza��o fundi�ria. Tais implementa��es t�m garantido uma melhor padroniza��o no compartilhamento dos dados levantados em campo, maior efici�ncia, melhor qualidade e, principalmente, a redu��o de custos com licen�as de software. O m�todo desenvolvido neste trabalho j� vem sendo aplicado no Brasil e pode ser aplicado ou adaptado �s especifica��es de outros pa�ses.","","full","english","22"
"7","Anomaly detection based method for spatio-temporal dynamics mapping in dam mining regions","Remote Sensing technologies and Machine Learning methods rise as a potential combination to assemble new environmental monitoring applications. In this context, the presented work proposes a new method that exploits anomaly detection models applied to Remote Sensing imagery to identify the spatio-temporal changes over the Earths surface. The potential of the introduced approach is shown in a study case concerning the analysis of the landscape changes using One-Class SVM and Isolation Forest methods in Landsat and Sentinel images for Brumadinho and Mariana regions, Brazil, after its recent dam collapses.","","full","english","22"
"8","Spatial data handling in NoSQL databases: a user-centric view","Spatial data handling is a core aspect in several advanced applications due to the popularity of storage and retrieval of spatial information. NoSQL databases have been widely used to manage massive volumes of data and have added some specialized support for handling spatial data. However, it is a challenging task to analyze the spatial support provided by NoSQL databases and their possible spatial extensions. In this paper, our goal is to overcome this challenging task by presenting a systematic review of the literature. This allows us to distinguish popular NoSQL databases employed by spatial applications and compare them based on a user-centric view. That means our study helps users to select a NoSQL database according to their needs. It is possible since we correlate the characteristics of NoSQL databases and their spatial extensions with typical spatial application requirements.","","full","english","22"
"9","SAFmaps: the WebGIS for sustainability assessment of aviation biofuels in Brazil","This paper presents the SAFmaps, an open-access WebGIS, that provides a geospatial database about promising feedstocks for the production of Sustainable Aviation Fuels (SAF) in Brazil, and information about their supply chains. The feedstocks addressed are eucalyptus, soybean, palm, macaw palm, sugarcane, corn, beef tallow and steel off-gases. Available information comprises maps of suitability, expected yields and costs for biomasses production, and a set of support maps. Besides maps, the user has access to reports and case studies related to one specific feedstock and region. The paper also presents the main challenges to developing a WebGIS by combining different layers based on a large geographic scope data, using raster layers.","","full","english","22"
"10","A framework for the generation of the rainwater flow model in streets","Urbanization in Brazilian cities often occurs without adequate planning. An example of this are urban drainage systems, that usually do not receive the proper attention from the public authorities. Therefore, drainage systems are often improvised or constructed in an emergency or provisional way, without adequate study. Furthermore, climate change has an impact in the dimensioning of such systems, and urban flooding tends to be more frequent. This work presents a framework that can be applied in any city to allow the user to identify, in their area of interest, critical regions that tend to receive greater water load during rainfall. The work is developed by associating two open software packages: QGIS and SWMM. The tool receives files with altimetric data (Digital Elevation Model) and shapefiles that represent the streets. The system generates a stormwater runoff model using the streets as the main drainage channels, allowing the identification of the segments that are likely to receive the highest volumes of stormwater. The tool can be used in support of public policies to prioritize urban drainage in specific and possibly critical areas. A case study in regions with known urban flooding problems in the city of Belo Horizonte in Minas Gerais is presented. Results are compared with reports of urban flooding in the city and prove to be consistent in identifying streets with a greater tendency to receive more water, with consequent impacts for the local population.","","full","english","22"
