id_pessoa,nome,instituicao
1,Bello Abubakar Abubakar,Nigerian Defence Academy
2,Sani Abubakar Abubakar,Kaduna Polytechnic
3,Damião Ribeiro de Almeida,Universidade Federal de Campina Grande (UFCG)
4,Aillkeen Bezerra de Oliveira,Universidade Federal de Campina Grande (UFCG)
5,Samuel Pereira de Vasconcelos,Universidade Federal de Campina Grande (UFCG)
6,Fábio Gomes de Andrade,Instituto Federal da Paraíba (IFPB)
7,Cláudio de Souza Baptista,Universidade Federal de Campina Grande (UFCG)
8,Juliana de Abreu Araújo,Instituto Nacional de Pesquisas Espaciais (INPE)
9,Allan Henrique Lima Freire,Instituto Nacional de Pesquisas Espaciais (INPE)
10,Ricardo Dal'Agnol da Silva,Instituto Nacional de Pesquisas Espaciais (INPE)
11,Lênio Soares Galvão,Instituto Nacional de Pesquisas Espaciais (INPE)
12,Filipe Junio S. Coelho,Universidade Federal de São João Del Rei (UFSJ)
13,Marconi de Arruda Pereira,Universidade Federal de São João Del Rei (UFSJ)
14,Clodoveu Augusto Davis Júnior,Universidade Federal de Minas Gerais (UFMG)
15,Natã G. Silva,Universidade Federal de São João Del Rei (UFSJ)
16,Telles T. da Silva,Universidade Federal de São João Del Rei (UFSJ)
17,Igor José Malfetoni Ferreira,Instituto Nacional de Pesquisas Espaciais (INPE)
18,Debora Cristina Cantador,Instituto Nacional de Pesquisas Espaciais (INPE)
19,Luiz Eduardo Oliveira e Cruz de Aragão,Instituto Nacional de Pesquisas Espaciais (INPE)
20,Laszlo K. Nagy,Universidade Estadual de Campinas (UNICAMP)
21,Leandro L. S. França,Universidade Federal de Pernambuco (UFPE)
22,Julierne Pinheiro,Ministério da Defesa Brasília
23,Joel B. Passos,Universidade Federal de Pernambuco (UFPE)
24,José Luiz Portugal,Universidade Federal de Pernambuco (UFPE)
25,Vinícius L. S. Gino,Universidade Estadual Paulista (UNESP)
26,Rogério G. Negri,Universidade Estadual Paulista (UNESP)
27,Felipe N. Souza,Universidade Estadual Paulista (UNESP)
28,Heron Carlos Gonçalves,Universidade Tecnológica Federal do Paraná (UTFPR)
29,Anderson Chaves Carniel,Universidade Federal de São Carlos (UFSCar)
30,Marjorie M. Guarenghi,Universidade Estadual de Campinas (UNICAMP)
31,João Luís Santos,GeoMeridium
32,Arnaldo Walter,Universidade Estadual de Campinas (UNICAMP)
33,Jansle V. Rocha,Universidade Estadual de Campinas (UNICAMP)
34,Joaquim E. A. Seabra,Universidade Estadual de Campinas (UNICAMP)
35,Nathália D. B. Vieira,Universidade Estadual de Campinas (UNICAMP)
36,Desirèe Damame,Universidade Estadual de Campinas (UNICAMP)
37,Pedro Vitor Duarte Guimarães,Universidade Federal de São João Del Rei (UFSJ)
38,Emmanuel Kennedy da Costa Teixeira,Universidade Federal de São João Del Rei (UFSJ)
39,Mario Arthur Sclafani Pujatti,Universidade Federal de Minas Gerais (UFMG)
40,Mateus de Souza Miranda,Instituto Nacional de Pesquisas Espaciais (INPE)
41,Renato de Sousa Maximiano,Instituto Nacional de Pesquisas Espaciais (INPE)
42,Valdivino Alexandre de Santiago Júnior,Instituto Nacional de Pesquisas Espaciais (INPE)
43,Thales Sehn Körting,Instituto Nacional de Pesquisas Espaciais (INPE)
44,Leila Maria Garcia Fonseca,Instituto Nacional de Pesquisas Espaciais (INPE)
45,Téhrrie Caroline Konig Ferraz Pacheco,Instituto Nacional de Pesquisas Espaciais (INPE)
46,Hermann Johann Heinrich Kux,Instituto Nacional de Pesquisas Espaciais (INPE)
47,Alessandra C. Corsi,Instituto de Pesquisas Tecnológicas (IPT)
48,Karine Pinheiro,Universidade Federal de Viçosa (UFV)
49,Gabriela Gouveia Lana,Universidade Federal de Viçosa (UFV)
50,Laura Andrade,Universidade Federal de Viçosa (UFV)
51,Ítalo Oliveira Ferreira,Universidade Federal de Viçosa (UFV)
52,Vanúcia Schumacher,Instituto Nacional de Pesquisas Espaciais (INPE)
53,Marco Aurélio Barros,Instituto Nacional de Pesquisas Espaciais (INPE)
54,Marcos A. S. da Silva,Embrapa Tabuleiros Costeiros
55,Leonardo N. Matos,Universidade Federal de Sergipe (UFS)
56,Flávio Emanuel de O. Santos,Universidade Federal de Sergipe (UFS)
57,Fábio R. de Moura,Universidade Federal de Sergipe (UFS)
58,Márcia H. G. Dompieri,Embrapa Territorial
59,Philipe Souza Siműes,Instituto Nacional de Pesquisas Espaciais (INPE)
60,Marionei Fomaca de Sousa Junior,Instituto Nacional de Pesquisas Espaciais (INPE)
61,Tânia Beatriz Hoffmann,Instituto Nacional de Pesquisas Espaciais (INPE)
62,Sidnei João Siqueira Sant'Anna,Instituto Nacional de Pesquisas Espaciais (INPE)
63,Yosio Edemir Shimabukuro,Instituto Nacional de Pesquisas Espaciais (INPE)
64,Hugo do Nascimento Bendini,Instituto Nacional de Pesquisas Espaciais (INPE)
65,Luccas Z. Maselli,Universidade Estadual Paulista (UNESP)
66,Kauê de Moraes Vestena,Universidade Federal do Paraná (UFPR)
67,Nathan Damas Antonio,Universidade Federal do Paraná (UFPR)
68,Gabriela Padilha,Universidade Federal do Paraná (UFPR)
69,Cyntia Virolli Cid Molina,Universidade de São Paulo (USP)
70,Ariely Mayara de Albuquerque Teixeira,Universidade Federal de Pernambuco (UFPE)
71,Silvana Phillippi Camboim,Universidade Federal do Paraná (UFPR)
72,Julia Corrêa Côrtes,Universidade Estadual de Campinas (UNICAMP)
73,José Diego Gobbo Alves,Universidade Estadual de Campinas (UNICAMP)
74,Álvaro de Oliveira D'Antona,Universidade Estadual de Campinas (UNICAMP)
75,Erasmus zu Ermgassen,UCLouvain
76,Vivian Ribeiro,Stockholm Environment Institute
77,Patrick Meyfroidt,UCLouvain
78,Samoel Giehl,Universidade Federal do Paraná (UFPR)
79,Regiane Dalazoana,Universidade Federal do Paraná (UFPR)
80,Túlio Alves Santana,Instituto Federal de Mato Grosso (IFMT)
81,Aline Daniele Jacon,Instituto Nacional de Pesquisas Espaciais (INPE)
82,Maria Isabel Sobral Escada,Instituto Nacional de Pesquisas Espaciais (INPE)
83,Peter Krauss,Instituto de Tecnologias Geo-Sociais AddressForAll
84,Luis Felipe Bortolatto da Cunha,Universidade Federal do ABC (UFABC)
85,Thierry Jean,Instituto de Tecnologias Geo-Sociais AddressForAll
86,Thainara Munhoz Alexandre de Lima,Instituto Nacional de Pesquisas Espaciais (INPE)
87,Romulo Marques Carvalho,Instituto Nacional de Pesquisas Espaciais (INPE)
88,Ueslei Adriano Sutil,Instituto Nacional de Pesquisas Espaciais (INPE)
89,Cláudia Maria de Almeida,Instituto Nacional de Pesquisas Espaciais (INPE)
90,Cláudio Clemente Faria Barbosa,Instituto Nacional de Pesquisas Espaciais (INPE)
91,Gilberto Ribeiro de Queiroz,Instituto Nacional de Pesquisas Espaciais (INPE)
92,Guilherme Martins,Instituto Nacional de Pesquisas Espaciais (INPE)
93,Fabiano Morelli,Instituto Nacional de Pesquisas Espaciais (INPE)
94,Mateus de Souza Macul,Instituto Nacional de Pesquisas Espaciais (INPE)
