id_autoria,id_artigo,id_pessoa,ordem_autoria,autor_correspondente
1,1,1.0,1,False
2,1,2.0,2,False
3,2,3.0,1,False
4,2,4.0,2,False
5,2,5.0,3,False
6,2,6.0,4,False
7,2,7.0,5,False
8,3,8.0,1,False
9,3,9.0,2,False
10,3,10.0,3,False
11,3,11.0,4,False
12,4,12.0,1,False
13,4,13.0,2,False
14,4,14.0,3,False
15,4,15.0,4,False
16,4,16.0,5,False
17,5,17.0,1,False
18,5,18.0,2,False
19,5,19.0,3,False
20,5,20.0,4,False
21,6,21.0,1,False
22,6,22.0,2,False
23,6,23.0,3,False
24,6,24.0,4,False
25,7,25.0,1,False
26,7,26.0,2,False
27,7,27.0,3,False
28,8,28.0,1,False
29,8,29.0,2,False
30,9,30.0,1,False
31,9,31.0,2,False
32,9,32.0,3,False
33,9,33.0,4,False
34,9,34.0,5,False
35,9,35.0,6,False
36,9,36.0,7,False
37,10,37.0,1,False
38,10,13.0,2,False
39,10,38.0,3,False
40,10,14.0,4,False
41,10,39.0,5,False
42,11,40.0,1,False
43,11,41.0,2,False
44,11,42.0,3,False
45,11,43.0,4,False
46,11,44.0,5,False
47,12,45.0,1,False
48,12,46.0,2,False
49,12,47.0,3,False
50,13,48.0,1,False
51,13,49.0,2,False
52,13,50.0,3,False
53,13,51.0,4,False
54,14,52.0,1,False
55,14,53.0,2,False
56,15,54.0,1,False
57,15,55.0,2,False
58,15,56.0,3,False
59,15,57.0,4,False
60,15,58.0,5,False
61,16,59.0,1,False
62,16,60.0,2,False
63,16,61.0,3,False
64,16,44.0,4,False
65,16,62.0,5,False
66,16,63.0,6,False
67,16,64.0,7,False
68,17,27.0,1,False
69,17,26.0,2,False
70,17,25.0,3,False
71,17,65.0,4,False
72,18,66.0,1,False
73,18,67.0,2,False
74,18,68.0,3,False
75,18,69.0,4,False
76,18,70.0,5,False
77,18,71.0,6,False
78,19,72.0,1,False
79,19,73.0,2,False
80,19,74.0,3,False
81,20,75.0,1,False
82,20,76.0,2,False
83,20,77.0,3,False
84,21,78.0,1,False
85,21,79.0,2,False
86,21,80.0,3,False
87,22,81.0,1,False
88,22,82.0,2,False
89,22,10.0,3,False
90,22,11.0,4,False
91,23,83.0,1,False
92,23,84.0,2,False
93,23,85.0,3,False
94,24,86.0,1,False
95,24,87.0,2,False
96,24,88.0,3,False
97,24,89.0,4,False
98,24,90.0,5,False
99,24,,6,False
100,24,,7,False
101,25,,1,False
102,25,91.0,2,False
103,25,92.0,3,False
104,25,93.0,4,False
105,26,94.0,1,False
106,26,95.0,2,False
107,26,96.0,3,False
108,26,,4,False
109,26,,5,False
110,27,97.0,1,False
111,27,,2,False
112,27,98.0,3,False
113,27,,4,False
114,28,,1,False
115,28,99.0,2,False
116,28,,3,False
117,28,100.0,4,False
118,29,101.0,1,False
119,29,,2,False
120,29,102.0,3,False
121,29,103.0,4,False
