"id_pessoa","nome","instituicao"
"1","Luiz Fernando F. G. de Assis","Universidade de S–o Paulo (USP)"
"2","Benjamin Herfort","Universidade de S–o Paulo (USP)"
"3","Enrico Steiger","Universidade de S–o Paulo (USP)"
"4","Fl�vio E. A. Horita","Universidade de S–o Paulo (USP)"
"5","Jo�o Porto de Albuquerque","Heidelberg University"
"6","Gabriel Marx Bellina","Universidade do Vale dos Sinos (UNISINOS)"
"7","Francisco Manoel Wohnrath Tognoli","Universidade do Vale dos Sinos (UNISINOS)"
"8","Mauricio Roberto Veronez","Universidade do Vale dos Sinos (UNISINOS)"
"9","Anderson Chaves Carniel","Universidade de S–o Paulo (USP)"
"10","Ricardo Rodrigues Ciferri","Universidade Federal de S–o Carlos (UFSCar)"
"11","Cristina Dutra de Aguiar Ciferri","Universidade de S–o Paulo (USP)"
"12","Fl�via da Fonseca Feitosa","niversidade Federal do ABC (CECS/UFABC)"
"13","Roberta Guerra Rosemback","Universidade Federal de Minas Gerais (CEDEPLAR/UFMG)"
"14","Thiago Correa Jacovine","niversidade Federal do ABC (CECS/UFABC)"
"15","Karine Reis Ferreira","nstituto Nacional de Pesquisas Espaciais (INPE)"
"16","Andre Gomes de Oliveira","Funda––o de Ci–ncia, Aplica––es e Tecnologia Espaciais (FUNCATE)"
"17","Antonio Miguel Vieira Monteiro","Instituto Nacional de Pesquisas Espaciais (INPE)"
"18","Diego Benincasa F. C. de Almeida","Instituto Nacional de Pesquisas Espaciais (INPE)"
"19","Mauricio G. Gruppi","Universidade Federal de Vi–osa (UFV)"
"20","Salles V. G. de Magalh�es","Universidade Federal de Vi–osa (UFV)"
"21","Marcus V. A. Andrade","Universidade Federal de Vi–osa (UFV)"
"22","W. Randolph Franklin","Rensselaer Polytechnic Institute"
"23","Wenli Li","Rensselaer Polytechnic Institute"
"24","Caio Lib�nio Melo Jer�nimo","Universidade Federal de Campina Grande (UFCG)"
"25","Cl�udio E. C. Campelo","Universidade Federal de Campina Grande (UFCG)"
"26","Cl�udio de Souza Baptista","Universidade Federal de Campina Grande (UFCG)"
"27","Pedro Logiodice","Universidade Federal de S–o Paulo (USP)"
"28","Renato Arbex","Universidade Federal de S–o Paulo (USP)"
"29","Diego Tomasiello","Universidade Federal de S–o Paulo (USP)"
"30","Mariana Giannotti","Universidade Federal de S–o Paulo (USP)"
"31","Raian V. Maretto","Funda––o de Ci–ncias, Aplica––es e Tecnologias Espaciais (FUNCATE)"
"32","Thales S. Korting","Instituto Nacional de Pesquisas Espaciais (INPE)"
"33","Emiliano F. Castejon","Instituto Nacional de Pesquisas Espaciais (INPE)"
"34","Leila M. G. Fonseca","Instituto Nacional de Pesquisas Espaciais (INPE)"
"35","Rafael Santos","Instituto Nacional de Pesquisas Espaciais (INPE)"
"36","Guilherme Henrique R. Nascimento","Universidade Federal de Minas Gerais (UFMG)"
"37","Clodoveu A. Davis J�nor","Universidade Federal de Minas Gerais (UFMG)"
"38","Alana K. Neves","Instituto Nacional de Pesquisas Espaciais (INPE)"
"39","Hugo do N. Bendini","Instituto Nacional de Pesquisas Espaciais (INPE)"
"40","Thales S. K�rting","Divis–o de Processamento de Imagens (DPI), Instituto Nacional de Pesquisas Espaciais (INPE)"
"41","Leila M. G. Fonseca","Divis–o de Processamento de Imagens (DPI), Instituto Nacional de Pesquisas Espaciais (INPE)"
"42","Francisco Dantas Nobre Neto","Universidade Federal de Campina Grande (UFCG)"
"43","S�vio S. Teles de Oliveira","GoGeo"
"44","Anderson R. Cunha","GoGeo"
"45","Vagner J. do Sacramento Rodrigues","GoGeo"
"46","Wellington S. Martins","Universidade Federal de Goi–s (UFG)"
"47","Welder B. de Oliveira","Universidade Federal de Goi–s (UFG)"
"48","Helton Saulo","Universidade Federal de Goi–s (UFG)"
"49","S�vio S. Teles de Oliveira","Universidade Federal de Goi–s (UFG)"
"50","Vagner J. Sacramento Rodrigues","Universidade Federal de Goi–s (UFG)"
"51","Kleber V. Cardoso","Universidade Federal de Goi–s (UFG)"
"52","Abilio A. M. de Oliveira","Universidade Federal de S–o Jo–o Del-Rei (UFSJ)"
"53","Matheus P. Souza","Universidade Federal de S–o Jo–o Del-Rei (UFSJ)"
"54","Marconi de A. Pereira","Universidade Federal de S–o Jo–o Del-Rei (UFSJ)"
"55","Felipe A. L. Reis","Centro Federal de Educa––o Tecnol–gica de MG (CEFET-MG)"
"56","Paulo E. M. Almeida","Centro Federal de Educa––o Tecnol–gica de MG (CEFET-MG)"
"57","Eder J. Silva","Universidade Federal de S–o Jo–o Del-Rei (UFSJ)"
"58","Daniel S. Crepalde","Universidade Federal de S–o Jo–o Del-Rei (UFSJ)"
"59","Thiago H. Poiani","Universidade de Sa ̃o Paulo (USP)"
"60","Flavio E. A. Horita","Universidade de Sa ̃o Paulo (USP)"
"61","Juan c. Salazar","Instituto Polit–cnico Nacional"
"62","Miguel Torres-Ruiz","Instituto Polit–cnico Nacional"
"63","Clodoveu A. Davis J�nior","Universidade Federal de Minas Gerais (UFMG)"
"64","Marco Moreno-Ibarra","Instituto Polit–cnico Nacional"
"65","Areli Andreia dos Santos","Universidade Federal de Santa Catarina (UFSC)"
"66","Andre Salvaro Furtado","Universidade Federal de Santa Catarina (UFSC)"
"67","Luis Otavio Alvares","Universidade Federal de Santa Catarina (UFSC)"
"68","Nikos Pelekis","University of Piraeus (UPRC)"
"69","Vania Bogorny","Universidade Federal de Santa Catarina (UFSC)"
"70","Danilo B. Seufitelli","Universidade Federal de Minas Gerais (UFMG)"
"71","Mirella M. Moro","Universidade Federal de Minas Gerais (UFMG)"
"72","Reginaldo Maced�nio da Silva","Universidade do Vale dos Sinos (UNISINOS)"
"73","Maur�cio Roberto Veronez","Universidade do Vale dos Sinos (UNISINOS)"
"74","Luiz Gonzaga Jr","Universidade do Vale dos Sinos (UNISINOS)"
"75","Francisco M. W. Tognoli","Universidade do Vale dos Sinos (UNISINOS)"
"76","Marcelo Kehl de Souza","Universidade do Vale dos Sinos (UNISINOS)"
"77","Leonardo Campos Inocencio","Universidade do Vale dos Sinos (UNISINOS)"
"78","Anderson Reis Soares","Instituto Nacional de Pesquisas Espaciais (INPE)"
"79","Thales Sehn K�rting","Instituto Nacional de Pesquisas Espaciais (INPE)"
"80","Leila M. Garcia Fonseca","Instituto Nacional de Pesquisas Espaciais (INPE)"
