"id_artigo","titulo","abstract","n_paginas","tipo_artigo","lingua","n_edicao"
"1","A Meta-Learning Framework for Imputing Missing Values in Weather Time Series","This paper describes an application of a meta-learning framework based on bagged trees. The proposed tool is used to estimate missing weather values in time series. The framework combines 8 different models of bagged trees that were optimized by a meta-learning algorithm. One of those 8 mod- els was trained using only the date and each one of the remaining seven was calibrated with one weather parameter (max. temperature, min. temperature, insolation, among others), in addition to the respective date. The results show improvements in accuracy of the predicted values, achieving values such as R2 = 0.94.","","Full Paper","english","21"
"2","Analysing the Tradeoff between Resource Consumption and Information Gain in the Gathering of Geolocation Data Using Smarphones","Geolocation data have been widely used for the comprehension of various social phenomena. Nowadays, such data are produced on a large scale by people using their smartphones. However, the capture of this kind of data, in a mobile device, can be expensive, consuming device resources. On the other hand, the capture with low frequency may impair the quality and consistency of the information collected. In this context, we conducted a comparative study on the performance across different data collection frequencies to analyse the im- pact on resource consumption and data quality. Afterwards, an evaluation was performed in order to show the pros and cons of the different capture frequencies and estimate a frequency best suited for different usage scenarios.","","Full Paper","english","21"
"3","Traffic Flow at Night: a custom algorithm for identifying basal nighttime radiance levels of roadways","The recent COVID-19 outbreak drove the attention to methods for monitoring the flow between settlements, including traffic flow. Although the remote sensing of nighttime lights is a viable option to estimate traffic flow derived indicators, changes on radiance levels at night are not all associated with traffic. This paper presents the theoretical approach proposed on the development of an algorithm able to identify spectrally unbiased control samples for regions of interest (ROI), namely roadway sections. Firstly, an overview of the algorithm is presented, followed by an empirical estimation of its time complexity. The results showed that the algorithm has an O(n) time complexity and that control samples and ROIs can have similar time series features, indicating that an analysis without the use of control samples can lead to biased results.","","Full Paper","english","21"
"4","Spatiotemporal disease tracking through open unstructured data and GIS","Automated disease tracking has become an increasingly important tool today. This article describes the prototype of a disease tracking system for the Brazilian territory. This study aims to extract relevant information in the health segment from unstructured data, extracted from news portals. The system should generate data that allows analysis at different levels of granularity, from small municipalities to the national level. The results of the study demonstrated the viability of the system and allowed the authors to identify some patterns in the processed data.","","Full Paper","english","21"
"5","Human Spatial Reasoning in Everyday Language: Inferring Regions that Describe Spatial Relations","The study of natural spatial language used by humans can foster the development of geographically aware systems that are able to assist us in our daily lives. In this specific type of language, one of the most important features is the usage of spatial relations. Used to describe the position of an object in rela- tion to another, spatial relations play a crucial role in the proper understanding of spatial communication. The computation of these relations in the application level is important to locate objects in the space or even interpret a location de- scription provided by a human. There are many types of spatial relations such as metric and topological, and in fact implementations of these relations are even available in common spatial database query languages. However, these relations are not easily translated into the ones that people use in daily com- munication, for which there is still a lack of approaches to estimating regions described by them. In this paper, a set of algorithms that derive polygons that match spatial relations used in daily communication are proposed. The algo- rithms were evaluated by comparing their outputs with drawings produced by humans. The results indicate that although this is a very difficult task, the pro- posed procedures produce satisfactory spatial region extents that almost always intersect the ones drawn by the subjects.","","Full Paper","english","21"
"6","Sugarcane canopy structure temporal analysis considering phenological stages and the temporal dynamics of NDVI values","This research aims to perform an exploratory analysis about the components of sugarcane canopy in each phenological stage. For this purpose, a methodology for field data sampling using an optical active sensor was proposed to obtain Normalized difference vegetation index (NDVI) values. Also, supervised classifications were conducted based on UAV images in order to measure the percentage of each component, in each phenological stage. As a result, the methodology had a satisfactory performance, further, the classification results demonstrated the temporal heterogeneity in sugarcane canopies.","","Full Paper","english","21"
"7","Mobipy - A Python Library for Analyzing Mobility Patterns","With the increase in the availability of georeferenced databases, in- terest in analyzing them in research that requires an understanding of peoples mobility patterns, especially in urban centers, has increased. Given this range of applications, several metrics have been proposed in the literature to infer patterns of peoples movement, however, they are often not available for use in other studies. In this article, we introduce Mobipy, a Python library that brings together metrics and functions frequently used to calculate peoples mobility patterns. It was developed with a focus on usability and compatibility with multiple datasets, facilitating research and data analysis tasks. We hope that Mobipy will provide researchers with new possibilities, enriching their analysis and generating new knowledge.","","Full Paper","english","21"
"8","QualiOSM: Improving Data Quality in the Collaborative Mapping Tool OpenStreetMap","The collaborative mapping tool OpenStreetMap (OSM) has a large database in which thousands of users are able to insert, edit and delete geo- graphic data from the Earths surface. As evidenced in multiple studies, col- laborative tools tend to have a lack of data quality, since the information is often provided by inexperienced users. Due to its complexity, the quality of ge- ographic data can be measured based on different aspects, which have been called quality dimensions in literature. In this context, this paper proposes the implementation of the QualiOSM tool in order to improve the quality dimension of attribute completeness within OpenStreetMap platform, increasing the ad- dress information associated with objects. The tool was tested in two different scenarios in Brazil: the city center of Brasilia, capital of the country, and part of the city of Rio Branco, in the state of Acre.","","Full Paper","english","21"
"9","Towards a Resilient Spatial Data Infrastructure","SpatialDataInfrastructures(SDI)hascontributedexpressivelytothe discovery and sharing of geospatial data. However, with the big number of geo-services available in SDI catalogs, and its sparse description, it is difficult to monitor the availability during the consumption of these resources. Aiming to overcome this limitation, this paper proposes an architecture that defines re- silience layers in SDI context, with a Circuit Breaker pattern implementation for retrieving data even during instability. This architecture delivers a novel way of reliable access to resources and spatial data from the SDI catalogs.","","Full Paper","english","21"
"10","An Efficient Solution to Generate Meta-features for Classification with Remote Sensing Time Series","Over the last years, the volume of Earth observation (EO) data in- creased significantly due to the large number of satellites orbiting the planet. These data are being used by automatic classification approaches to generate land-use and land-cover (LULC) products for different landscapes around the world. Dynamic Time Warping (DTW) is a classical method used to measure the similarity between two time series. In this context, DTW-based algorithms are an efficient approach to handle EO time series. These algorithms can be used to generate meta-features (i.e., new features automatically derived from the orig- inal features) to improve the performance of classification models. However, these algorithms have a long processing time and depends on large computa- tional resources, making it difficult to use in large data volumes. Seeking to address this limitation, this work presents a full scalable parallel solution to optimize the construction of remote sensing meta-features. Additionally, a new classification strategy is presented, in which, the meta-features generated were used to train and evaluate a Random Forest model. Our results shows that both approaches leads to improvement in execution time and overall accuracy when compared to traditional methods.","","Full Paper","english","21"
