"id_autoria","id_artigo","id_pessoa","ordem_autoria","autor_correspondente"
"1","1","1","1","TRUE"
"2","1","2","2","FALSE"
"3","2","3","1","TRUE"
"4","2","4","2","FALSE"
"5","3","5","1","TRUE"
"6","3","6","2","FALSE"
"7","3","7","3","FALSE"
"8","3","8","4","FALSE"
"9","3","9","5","FALSE"
"10","3","10","6","FALSE"
"11","3","11","7","FALSE"
"12","4","12","1","TRUE"
"13","4","13","2","FALSE"
"14","5","14","1","TRUE"
"15","5","4","2","FALSE"
"16","6","15","1","TRUE"
"17","6","16","2","FALSE"
"18","6","17","3","FALSE"
"19","6","18","4","FALSE"
"20","6","19","5","FALSE"
"21","7","20","1","TRUE"
"22","7","4","2","FALSE"
"23","8","21","1","TRUE"
"24","8","22","2","FALSE"
"25","8","23","3","FALSE"
"26","9","24","1","TRUE"
"27","9","25","2","FALSE"
"28","9","26","3","FALSE"
"29","9","27","4","FALSE"
"30","10","28","1","TRUE"
"31","10","29","2","FALSE"
"32","10","30","3","FALSE"
"33","10","31","4","FALSE"
"34","10","32","5","FALSE"
"35","11","33","1","TRUE"
"36","11","34","2","FALSE"
"37","11","35","3","FALSE"
"38","12","36","1","TRUE"
"39","12","37","2","FALSE"
"40","12","38","3","FALSE"
"41","13","39","1","TRUE"
"42","13","40","2","FALSE"
"43","13","41","3","FALSE"
"44","13","34","4","FALSE"
"45","13","42","5","FALSE"
"46","13","11","6","FALSE"
"47","13","43","7","FALSE"
"48","14","44","1","TRUE"
"49","14","45","2","FALSE"
"50","14","46","3","FALSE"
"51","15","47","1","TRUE"
"52","15","48","2","FALSE"
"53","15","35","3","FALSE"
"54","15","49","4","FALSE"
"55","15","50","5","FALSE"
"56","16","51","1","TRUE"
"57","16","4","2","FALSE"
"58","17","52","1","TRUE"
"59","17","53","2","FALSE"
"60","17","54","3","FALSE"
"61","18","55","1","TRUE"
"62","18","56","2","FALSE"
"63","18","57","3","FALSE"
"64","19","58","1","TRUE"
"65","19","59","2","FALSE"
"66","19","60","3","FALSE"
"67","20","61","1","TRUE"
"68","20","62","2","FALSE"
"69","20","46","3","FALSE"
"70","21","63","1","TRUE"
"71","21","64","2","FALSE"
"72","21","33","3","FALSE"
"73","21","49","4","FALSE"
"74","21","34","5","FALSE"
"75","22","65","1","TRUE"
"76","22","66","2","FALSE"
"77","22","67","3","FALSE"
"78","22","68","4","FALSE"
"79","23","69","1","TRUE"
"80","23","70","2","FALSE"
"81","23","35","3","FALSE"
"82","23","71","4","FALSE"
"83","23","72","5","FALSE"
"84","23","73","6","FALSE"
"85","24","74","1","TRUE"
"86","24","75","2","FALSE"
"87","24","76","3","FALSE"
"88","25","77","1","TRUE"
"89","25","78","2","FALSE"
"90","25","79","3","FALSE"
"91","26","80","1","TRUE"
"92","26","81","2","FALSE"
"93","26","82","3","FALSE"
"94","26","83","4","FALSE"
"95","26","84","5","FALSE"
"96","26","49","6","FALSE"
"97","26","35","7","FALSE"
"98","27","85","1","TRUE"
"99","27","86","2","FALSE"
"100","27","87","3","FALSE"
"101","28","88","1","TRUE"
"102","28","89","2","FALSE"
"103","28","90","3","FALSE"
"104","28","91","4","FALSE"
"105","29","92","1","TRUE"
"106","29","93","2","FALSE"
"107","30","94","1","TRUE"
"108","30","95","2","FALSE"
"109","30","96","3","FALSE"
"110","30","97","4","FALSE"
"111","30","11","5","FALSE"
"112","31","70","1","TRUE"
"113","31","98","2","FALSE"
"114","31","99","3","FALSE"
"115","31","100","4","FALSE"
"116","31","43","5","FALSE"
"117","31","101","6","FALSE"
"118","31","73","7","FALSE"
"119","32","102","1","TRUE"
"120","32","103","2","FALSE"
"121","32","104","3","FALSE"
"122","32","105","4","FALSE"
"123","32","106","5","FALSE"
"124","32","107","6","FALSE"
"125","33","108","1","TRUE"
"126","33","109","2","FALSE"
"127","33","110","3","FALSE"
"128","33","111","4","FALSE"
"129","33","112","5","FALSE"
"130","33","113","6","FALSE"
"131","33","114","7","FALSE"
"132","34","115","1","TRUE"
"133","34","116","2","FALSE"
"134","34","117","3","FALSE"
"135","34","34","4","FALSE"
"136","35","118","1","TRUE"
"137","35","119","2","FALSE"
"138","35","120","3","FALSE"
"139","35","46","4","FALSE"
"140","36","121","1","TRUE"
"141","36","122","2","FALSE"
"142","36","123","3","FALSE"
"143","36","124","4","FALSE"
