"id_autoria","id_artigo","id_pessoa","ordem_autoria","autor_correspondente"
"1","1","1","1","TRUE"
"2","1","2","2","FALSE"
"3","1","3","3","FALSE"
"4","1","4","4","FALSE"
"5","1","5","5","FALSE"
"6","1","6","6","FALSE"
"7","1","7","7","FALSE"
"8","1","8","8","FALSE"
"9","2","9","1","TRUE"
"10","2","10","2","FALSE"
"11","3","9","1","TRUE"
"12","3","10","2","FALSE"
"13","3","11","3","FALSE"
"14","4","12","1","TRUE"
"15","4","13","2","FALSE"
"16","5","14","1","TRUE"
"17","5","15","2","FALSE"
"18","5","16","3","FALSE"
"19","5","17","4","FALSE"
"20","5","18","5","FALSE"
"21","6","19","1","TRUE"
"22","6","20","2","FALSE"
"23","6","21","3","FALSE"
"24","7","22","1","TRUE"
"25","7","23","2","FALSE"
"26","7","24","3","FALSE"
"27","8","15","1","TRUE"
"28","8","25","2","FALSE"
"29","8","26","3","FALSE"
"30","8","27","4","FALSE"
"31","9","28","1","TRUE"
"32","9","29","2","FALSE"
"33","10","30","1","TRUE"
"34","10","31","2","FALSE"
"35","10","32","3","FALSE"
"36","10","26","4","FALSE"
"37","10","15","5","FALSE"
"38","11","33","1","TRUE"
"39","11","15","2","FALSE"
"40","11","34","3","FALSE"
"41","12","35","1","TRUE"
"42","12","36","2","FALSE"
"43","12","37","3","FALSE"
"44","12","38","4","FALSE"
"45","12","39","5","FALSE"
"46","12","40","6","FALSE"
"47","13","41","1","TRUE"
"48","13","42","2","FALSE"
"49","13","43","3","FALSE"
"50","13","44","4","FALSE"
"51","14","45","1","TRUE"
"52","14","46","2","FALSE"
"53","14","47","3","FALSE"
"54","14","48","4","FALSE"
"55","15","49","1","TRUE"
"56","15","50","2","FALSE"
"57","15","51","3","FALSE"
"58","16","52","1","TRUE"
"59","16","53","2","FALSE"
"60","16","54","3","FALSE"
"61","19","55","1","TRUE"
"62","19","56","2","FALSE"
"63","19","57","3","FALSE"
"64","19","32","4","FALSE"
"65","20","58","1","TRUE"
"66","20","59","2","FALSE"
"67","21","60","1","TRUE"
"68","21","61","2","FALSE"
"69","21","62","3","FALSE"
"70","22","63","1","TRUE"
"71","22","64","2","FALSE"
"72","22","65","3","FALSE"
"73","23","66","1","TRUE"
"74","23","67","2","FALSE"
"75","23","68","3","FALSE"
"76","24","69","1","TRUE"
"77","24","70","2","FALSE"
"78","25","71","1","TRUE"
"79","25","21","2","FALSE"
"80","26","72","1","TRUE"
"81","26","73","2","FALSE"
"82","27","74","1","TRUE"
"83","27","75","2","FALSE"
"84","27","76","3","FALSE"
"85","28","77","1","TRUE"
"86","28","78","2","FALSE"
"87","28","79","3","FALSE"
"88","29","80","1","TRUE"
"89","29","81","2","FALSE"
