"id_artigo","titulo","abstract","n_paginas","tipo_artigo","lingua","n_edicao"
"1","Georeferenced Multipurpose Real Estate Re-registration Support System","The implantation and maintenance of a cartographic base is not a simple task, mainly in great territorial extensions, such as for example, Brazil. Cities follow a dynamic system of growth, undergoing significant changes in a relatively short period, which makes urban mapping a major challenge. Outdated cadastral bases make it difficult for managers to take decisions and tax taxes that make up a large part of the municipalities budget. The objective of this paper is to present a support system for the georeferenced multipurpose real estate re-registration of cities. The system takes into account images collected by drones during overflights in cities. These images are vectorized and the data obtained are compared with the cadastral data provided by the city hall, generating an updated geographic database. In addition, the system is composed of a web application with two modules, Administrative and Citizen, and an application for field collection, Collect Module. Through these modules, managers can analyze the updated geographic database to take strategic decisions about the city and tax taxation fairly. These definitions are in line with Brazilian legislation, following the premises defined in Ordinance number 511 of the Ministry of Cities and in Complementary Law number 101. RESUMO: .","","full","english","23"
"2","Characterization of Fracture Geometry with Computed Microtomography Rock Images","Fractures are planar structures that can be found inside a rock, in which there is the ability to accumulate and transport fluids. From this important structure, we developed a computational framework that analyzes computed tomographic images by extracting their geometric characteristics. For this analysis, image processing techniques were developed that seek to identify the structure of the contours obtained through data segmentation. Thus, this work presents the techniques and algorithms that were implemented for the evaluation of these parameters, with the main objective of helping the reservoir area and fluid characterization, avoiding destructive analysis of the samples and reducing the uncertainties inherent to the characterization of the productive life of a field.","","full","english","23"
"3","Territorial relations between deforestation and Rural Environmental Registry (CAR) in the Amazon biome using free software QGIS/PostgreSQL/PostGIS and Data Warehouse Structure","This work presents the use and integration of free software to organize a spatial database (part of a data warehouse) capable of performing spatial and numerical analyses on a set of spatial data from the Amazon biome (deforestation and Rural Environmental Registry - CAR). This work is part of a larger research project (Embrapa/Censipam) that addresses the use of strategic territorial intelligence to analyze deforestation processes in the Amazon biome. More specifically, this article deals with a part of the Data Warehouse construction that serves as the basis for the larger research project to work. The focus is on the spatial part of the data warehouse, proposing a free software structure to perform spatial analysis. As preliminary results, quantifications of deforestation by state and by municipalities are presented.","","full","english","23"
"4","Exploring the diversity of informal settlements in Brazil: a clustering approach to qualitative field survey data","Upgrading informal settlements and improving the living conditions of their dwellers is still a challenge. In addition, it is important to produce upto- date information about them. This exploratory research aimed at expanding the knowledge on informal settlements through the identification, description and comparison of typologies present in Brazil. It relied on an extensive qualitative field survey applied to 157 municipalities in six regions. The territorial scope and format of data introduced methodological challenges that were addressed by using an ensemble k-modes clustering approach. The results illustrate the diversity of informal settlements through four typologies with distinctive characteristics.","","full","english","23"
"5","FMASK algorithm applied to Landsat images: a study case in the region of Santar�m, Par�, Brazil","Clouds and cloud shadows are recurrent problems in optical remote sensing images. Algorithms have been developed for automatic detection of these targets such as the Function of Mask (Fmask) model. This work presents an automatic mapping of cloud areas with Fmask in Landsat images between 2017 and 2018 in northern Santar�m, Par�, Brazil. The results show that the algorithm presents a good performance (85%) in the study area and is a powerful tool in clouds and cloud shadows detection. However, for further works, it is suggested to use data at a larger time scale and the evaluation of more pixels within the images, when comparing Fmask with other algorithms.","","full","english","23"
"6","A Survey on Persistence Strategies for Semantically Enriched Trajectories","Mobile object databases have been studied for at least 20 years. However, with the emergence of Big Data, new challenges for MODs were introduced, such as the ability to manage a large volume of data, support for low-latency spatiotemporal queries, the need for high insert throughput, and association from complex and heterogeneous data to raw trajectories. This last challenge gives rise to the concept of semantically enriched trajectories, i.e., trajectories with one or more associated semantic contexts, such as the speed of the movement, the points of interest on which the trajectory passes and the weather condition during the movement. This work presents a survey of recent proposals for the persistence of semantically enriched trajectories in databases using different technologies such as NoSQL, relational and triplestore. The characteristics raised and analyzed are the implementation project, taking into account the storage strategy of these trajectories, the database platform used and the considered data models. For the best of our knowledge, there is no survey in the literature with focus on persistence of semantic trajectories.","","full","english","23"
"7","A QGIS plugin for BONDS project: integrating field data with geographical, remote sensing and health information","Open source Geographic Information System (GIS) have been fostering spatial data research such as Earth observation and environmental monitoring for more than 30 years. More recently, globally available geospatial information combined with web technologies are providing new environments and tools for data handling. Thus, binding the mapping and processing capabilities of traditional GIS to the accessibility and reliability of web-based data providers can bring new opportunities for research. In this paper, we built a QGIS plugin to explore the integration of different public data providers in Brazil along with field data produced by the BONDS project. The biOdiversity conservatioN with Development in Amazon wetlandS project (BONDS) proposes to develop biodiversity scenarios for the Amazonian floodplains aiming to support solutions to preserve biodiversity and ecosystem services. The use of web services enabled dynamic and fast access to several products ranging from remote sensing images, land use and land cover, territorial cartography, water quality, to COVID-19 health data, and more.","","full","english","23"
"8","Remote Sensing and Machine Learning on Anomaly Detection at high spectral and temporal dynamics regions in Brazil","In climate changes context Remote Sensing tools are widely used and widespread in research. In this sense, Artificial Intelligence rises offering possible improves for environmental monitoring applications using techniques such as Machine Learning for Anomaly Detection applied to Remote Sensing imagery to identify the spatio-temporal changes over the Earths surface. This approach is explored in three high dynamic regions in Brazil assessing deforestation, fires and technological disaster areas using One-Class SVM and Isolation Forest methods over MODIS, Landsat and Sentinel images.","","full","english","23"
"9","Application of GEOBIA for urban area classification using optical images from the PE3D project","The urban space is complex and has great variability of targets. The methods of extracting information, automated or manual, present limitations and difficulties. Although high resolution images allow better visibility of urban targets, there is a difficulty in automatically discriminating targets. The use of auxiliary layers and pre-processing in the image can help in the classification process. This work presents a semi-automation of feature extraction to assist in the vectorization of blocks, streets and lots. A subdivision in Caruaru, Pernambuco, was used as a test area. The results can help in the Processed Product block and saved on the basis of COMPESA (Companhia Pernambucana de Saneamento).","","full","portuguese","23"
"10","Database of 2019 Brazilian oil disaster: an overview of a dataset and its application on an Artificial Intelligence monitoring system","In September 2019 small tar balls and oil slicks showed up affecting eleven states, mostly in the Northeast region, which depends mostly on tourism and fishery activities. The Brazilian National Contingency Plan (PNC) failed since the oil spread subsurface making impossible to see thorough satellite images. To help out to discover what happened, the Federal Government activated the Monitoring and Evaluation Group (GAA) to study different aspects of this disaster and learn how to prevent and mitigate a possible new event. This work is part of the Work Group 1, which deals with the Monitoring and Modeling, and describes the dataset composed of SAR images used to train the Artificial Intelligence (AI) and the future data that will be incorporated on the database of the project.","","full","english","23"
