"id_autoria","id_artigo","id_pessoa","ordem_autoria","autor_correspondente"
"1","1","1","1","TRUE"
"2","1","2","2","FALSE"
"3","1","3","3","FALSE"
"4","3","4","1","TRUE"
"5","3","5","2","FALSE"
"6","3","6","3","FALSE"
"7","3","7","4","FALSE"
"8","5","8","1","TRUE"
"9","5","9","2","FALSE"
"10","5","10","3","FALSE"
"11","5","11","4","FALSE"
"12","6","12","1","TRUE"
"13","6","13","2","FALSE"
"14","6","14","3","FALSE"
"15","7","15","1","TRUE"
"16","7","16","2","FALSE"
"17","7","17","3","FALSE"
"18","7","18","4","FALSE"
"19","8","19","1","TRUE"
"20","8","20","2","FALSE"
"21","8","21","3","FALSE"
"22","8","22","4","FALSE"
"23","9","23","1","TRUE"
"24","9","24","2","FALSE"
"25","9","25","3","FALSE"
"26","9","26","4","FALSE"
"27","9","27","5","FALSE"
"28","10","5","1","TRUE"
"29","10","28","2","FALSE"
"30","10","29","3","FALSE"
"31","13","30","1","TRUE"
"32","13","31","2","FALSE"
"33","13","32","3","FALSE"
"34","14","33","1","TRUE"
"35","14","34","2","FALSE"
"36","14","35","3","FALSE"
"37","14","36","4","FALSE"
"38","14","37","5","FALSE"
"39","15","38","1","TRUE"
"40","15","39","2","FALSE"
"41","16","40","1","TRUE"
"42","16","41","2","FALSE"
"43","16","42","3","FALSE"
"44","16","43","4","FALSE"
"45","16","44","5","FALSE"
"46","16","45","6","FALSE"
"47","18","46","1","TRUE"
"48","18","47","2","FALSE"
"49","19","48","1","TRUE"
"50","19","49","2","FALSE"
"51","19","50","3","FALSE"
"52","21","51","1","TRUE"
"53","21","52","2","FALSE"
"54","24","53","1","TRUE"
"55","24","54","2","FALSE"
"56","24","55","3","FALSE"
"57","25","56","1","TRUE"
"58","25","57","2","FALSE"
"59","25","58","3","FALSE"
