"id_autoria","id_artigo","id_pessoa","ordem_autoria","autor_correspondente"
"1","1","1","1","TRUE"
"2","1","2","2","FALSE"
"3","2","3","1","TRUE"
"4","2","4","2","FALSE"
"5","2","5","3","FALSE"
"6","3","6","1","TRUE"
"7","3","7","2","FALSE"
"8","3","8","3","FALSE"
"9","4","9","1","TRUE"
"10","4","10","2","FALSE"
"11","5","11","1","TRUE"
"12","5","12","2","FALSE"
"13","5","13","3","FALSE"
"14","6","14","1","TRUE"
"15","6","15","2","FALSE"
"16","7","16","1","TRUE"
"17","7","17","2","FALSE"
"18","7","18","3","FALSE"
"19","7","19","4","FALSE"
"20","7","20","5","FALSE"
"21","7","21","6","FALSE"
"22","7","22","7","FALSE"
"23","8","23","1","TRUE"
"24","8","24","2","FALSE"
"25","8","25","3","FALSE"
"26","9","26","1","TRUE"
"27","9","27","2","FALSE"
"28","9","28","3","FALSE"
"29","9","29","4","FALSE"
"30","9","30","5","FALSE"
"31","9","31","6","FALSE"
"32","10","32","1","TRUE"
"33","10","33","2","FALSE"
"34","10","34","3","FALSE"
"35","13","35","1","TRUE"
"36","13","36","2","FALSE"
"37","13","19","3","FALSE"
"38","13","20","4","FALSE"
"39","14","37","1","TRUE"
"40","14","38","2","FALSE"
"41","15","39","1","TRUE"
"42","15","40","2","FALSE"
"43","16","41","1","TRUE"
"44","16","42","2","FALSE"
"45","17","43","1","TRUE"
"46","17","44","2","FALSE"
"47","18","45","1","TRUE"
"48","18","46","2","FALSE"
"49","18","47","3","FALSE"
"50","19","48","1","TRUE"
"51","19","49","2","FALSE"
"52","19","50","3","FALSE"
