"id_artigo","titulo","abstract","n_paginas","tipo_artigo","lingua","n_edicao"
"1","Simulando padr�es de inc�ndios no Parque Nacional das Emas, estado de Goi�s, Brasil","Apresentamos neste trabalho um modelo probabil�stico e espacialmente expl�cito para simular padr�es de inc�ndios ocorridos no Parque Nacional das Emas, Estado de Goi�s, Brasil. Aplicamos conceitos da teoria de percola��o para representar os fen�menos de igni��o e propaga��o. O fogo se propaga de uma c�lula queimando para qualquer uma das oito c�lulas vizinhas  como um evento estoc�stico independente com probabilidade  I, onde I pode variar de 0 a 1. Uma c�lula com material combust�vel permanece em seu estado caso nela n�o ocorra a igni��o. Uma vez levada a igni��o, seu estado ser�, nas � duas itera��es seguintes, queimando e queimado. A extin��o do inc�ndio ocorre se novas c�lulas n�o forem levadas a igni��o em um dada itera��o. Efeitos do acumulo de combust�vel s�o inclu�dos no modelo mediante escolhas de distintos valores de probabilidade de propaga��o. Os efeitos do vento s�o introduzidos  com um incremento na probabilidade de propaga��o para vizinhos adjacentes  situados na dire��o do vento.","","Full papers","portuguese","10"
"2","SIGWeb builder: uma ferramenta visual para desenvolvimento de SIG Webs","This work aims at the implementation of a visual tool to support the development of Web Geographic Information Systems (WebGIS) based on freeware environments. The proposed tool will minimize the effort of developing such applications and allow developers to concentrate their efforts in the functionalities and layout of the application and abstract away from the details of the target environment used to support the application.","","Short papers","portuguese","10"
"3","RDengue um ambiente para o monitoramento de ovos do mosquito Aedes aegypti","This work describes the development of an integrated environment providing support for monitoring amounts of eggs of the Aedes aegypti, the main vector of the dengue disease. The proposed environment combines computational resources and tools for spatial and/or temporal statistical analysis. The system is used on eggs count data obtained from the an experiment conducted within the context of the SAUDAVEL project. The environment integrates the statistical software R and the GIS tools TerraLib and TerraView, using the package aRT and includes the development of RDengue, an R package implemented the proposed methodology and tailored for continuous an automatic surveillance systems.","","Short papers","portuguese","10"
"4","Metodologia para representa��o da estrutura de dados geoespacial vetorial da Mapoteca Nacional Digital em bancos de dados geogr�ficos relacionais","A single model of vector geospatial data structure that could be used by institutions responsible for systematic land mapping, has always been a major challenge in mapping national scene. The National Commission of Cartography, in 2007, launched the technical specifications for geospatial data vector that finally unite the form of mapping models and break with old paradigms. One of these specifications is a conceptual object oriented model. This paper presents a solution to map this conceptual model for a generic model of relational geographic database.","","Short papers","portuguese","10"
"5","Irregular cellular spaces: supporting realistic spatial dynamic modeling over geographical databases","This paper presents a new computational model for representing the Geographic Space concept, called Irregular Cellular Space, which main goal is supporting the development of multiscale spatially explicit dynamic models integrated to geographical databases. This model has been implemented in a modeling software platform named TerraME which has been used for the development of some interesting environmental dynamic models and form simulation of dynamic spatial patterns of change.","","Full papers","english","10"
"6","Spatial patterns of residential segregation: a generative model","Residential segregation emerges from the interaction of many individuals and displays makedly different global patterns depending on specific socioeconomic contexts. This paper presents a generative model of socioeconomic segregation that reproduces regular macro-patterns of the phenomenon through the specification of a minimal amount of parameters driving the agents behaviour. The purpose of these experiments is to provide insights about the emergence of certain types of segregation patterns that have been identified in many modern cities and measure the relation between these distinct outputs and the degree of segregation they produce.","","Short papers","english","10"
"7","Sharing executable models through an Open Architecture based on Geospatial Web Services: a Case Study in Biodiversity Modelling","Biodiversity researchers develop predictive models for species occurrence and distribution which are useful for biodiversity conservation policies. Species distribution modelling tools need to locate and access large amount of data in different sources and produces results from different algorithms. In this scenario, collaboration is an essential feature to improve this research area. Scientists need to share models, data and results to get new discoveries. This paper presents advances in Web Biodiversity Collaborative Modelling Services (WBCMS) development. These services support sharing of modelling results and information about its generation. WBCMS also enable researcher to make new experiments based in previous one. Scientists can use WBCMS to compare experiments, to make new inferences and to improve their studies. A case study explains the model instance usage.","","Full papers","english","10"
"8","Discovering location indicators of toponyms from news to improve gazetteer-based geo-referencing","This paper presents an approach that identifies Location Indicators related to geographical locations, by analyzing texts of news published in the Web. The goal is to semi-automatically create Gazetteers with the identified relations and then perform geo-referencing of news. Location Indicators include non-geographical entities that are dynamic and may change along the time. The use of news published in the Web is a useful way to discover Location Indicators, covering a great number of locations and maintaining detailed information about each location. Different training news corpora are compared for the creation of Gazetteers and evaluated by their ability to correctly identify cities in texts of news.","","Full papers","english","10"
"9","Desenvolvimento de uma plataforma gr�fica para a descri��o de modelos de sistemas ambientais","This paper presents the actual stage of development of TerraME Graphical Interface for Modeling and Simulation  TerraME GIMS, a graphical interface to building dynamic spatial-temporal models to the platform TerraME. The development of models through graphical components improve the productivity of the users and become more intuitive the process of building models, contributing to expand the user community of the environment TerraME.","","Short papers","portuguese","10"
"10","Detec��o autom�tica de rotas de �nibus","This paper describes an algorithm for machine learning of routes traveled by an urban bus fleet by analyzing the sequences of points (georeferenced) sent by devices installed in each bus. The work includes tests with real data and also discusses some practical aspects that can detect the street segments of any errors inherent in the use of GPS.","","Short papers","portuguese","10"
"11","Using serious game techniques to simulate emergency situations","This paper presents a simulation engine we implemented to support an interactive emergency simulation game. We first discuss various issues on building serious (non-entertainment) games involving the simulation of real life situations. The discussion also considers the use of geographical information systems and dynamic modeling techniques. Then, we present the architecture of the simulation engine and discuss the main aspects regarding its application to emergency plans. Finally, we briefly describe a prototype built to validate the proposed architecture and the requirements raised in the discussion.","","Full papers","english","10"
"12","Spatial relations across scales in land change models","Land changes are the result of a complex web of interaction between human and biophysical factors, which act over a wide range of temporal and spatial scales. In this paper we conceptualize spatial relations among geographic objects at different scales. We analyze two types of spatial relations: hierarchical, which handles the interaction of nested objects at different scales (countries, states and municipalities, for example); and a network-based relation, which handles action-at-a-distance types of interaction (market chains, for instance) of objects at different scales (such as farms in Central Amazonia to soybean market consumers at the global scale). We implemented such relations in the Terralib environment, in which they can be constructed using selected strategies, and then used in dynamic models. We exemplify the use of such concepts in a real-world case study in the Brazilian Amazonia. We conclude that combining hierarchical and network-based spatial relations provide a comprehensive conceptual framework to include top-down and bottom-up interactions and feedbacks in multi-scale land change models.","","Full papers","english","10"
"13","T�cnica de fus�o de imagens para facilitar a dete��o de �reas canavieiras em incompatibilidade ambiental","The purpose of this paper is to develop a methodology based on the techniques of GIS and remote sensing as the fusion techniques of images to identify cane crops in APP in the S�o Paulo state. For such images were used pancromatic the HRC (High Resolution Camera) and multispectral CCD (Charge Coulpe Device) data. The intersection between APP and Sugarcane crop maps, combined with a careful visual interpretation with the aid of the fusion image, resulting in the areas of legal conflict. In the study area was found 9,840 hectares of APP in 996,100 hectares of sugarcane crop of which 60 hectares have found themselves in legal incompatibility environment. Fusion images technique allowed sugarcane crops identification as well as the detailed layout of the drainage network in the next scale 1:10.000.","","Short papers","portuguese","10"
"14","Proposi��o de Infra-Estrutura de Dados Espaciais (SDI) local, baseada em Arquitetura Orientada por Servi�os (SOA)","This paper describes some essential aspects of a local Spatial Data Infrastructure (SDI) implementation. Initially, a brief literature review about Service Oriented Architecture (SOA) is developed. After, an analysis of SOA application possibilities is done, particularly in the case study: Belo Horizonte City Information and Informatics Company (Prodabel). Finally, some implementation alternatives of the proposed model are considered based on evolution scenarios.","","Short papers","portuguese","10"
"15","Land change modeling and institutional factors: heterogeneous rules of territory use in the Brazilian Amazonia","Land changes are determined by a complex web of biophysical and socio-economic factors that interact in time and space, in different historical and geographical contexts, creating different trajectories of change. It is people's response to economic opportunities mediated by institutional factors that drives changes. In this paper we discuss how to incorporate such institutional land tenure categories in land change models. Our hypothesis is that this is an essential stepin the direction of constructing regional models to represent the heterogeneity of actors and processes. We implemented the conceptual proposal using the TerraME modeling Environment. Through a case study we analyze how the existence of different rules of territory use affects the landscape dynamics at the regional level.","","Full papers","english","10"
"16","A progressive vector map browser","With the increasing popularity of web-based map browsers, remotely obtaining a high quality depiction of cartographic information has become commonplace. Most web mapping systems, however, rely on high-capacity servers transmitting pre-rendered tiled maps in raster format. That approach is capable of producing good quality renderings on the client side while using limited bandwidth and exploiting the browsers image cache. These goals are harder to achieve for maps in vector format. In this work, we present an alternative client-server architecture capable of progressively transmitting vector maps in levels-of-detail (LOD) by using techniques such as polygonal line simplification, spatial data structures and, most importantly, a customized memory management algorithm. A multiplatform implementation of this system is described, as well as several performance and image quality measurements taken with it.","","Full papers","english","10"
"17","Um framework para coleta e filtragem de dados geogr�ficos fornecidos voluntariamente","Diversas aplica��es na Web permitem que usu�rios contribuam com dados textuais, fotos, opini�es e recomenda��es. O mesmo tem ocorrido em sites ligados a informa��o geogr�fica. A contribui��o volunt�ria gera freq�entes d�vidas quanto � sua confiabilidade e qualidade. No entanto, � grande a import�ncia potencial desse tipo de contribui��o para a expans�o e o melhoramento das fontes de dados geogr�ficos atualmente dispon�veis. Este trabalho apresenta uma iniciativa de cria��o de um framework para coleta de contribui��es volunt�rias sobre informa��o geogr�fica na Web, que ser� usado para pesquisa sobre aspectos como qualidade, confiabilidade, mecanismos de filtragem e valida��o, e integra��o a infra-estruturas de dados espaciais.","","Short papers","portuguese","10"
"18","Investigating the effects of spatial data redundancy in query performance over geographical data warehouses","Geographical Data Warehouses (GDW) are one of the main technologies used in decision-making processes and spatial analysis. For these, several conceptual and logical data models have been proposed in the literature. However, little attention has been devoted to the study of how spatial data redundancy affects query performance over GDW. In this paper, we investigate this issue. Firstly, we compare redundant and non-redundant GDW schemas and conclude that redundancy is related to high performance losses. Further, we analyze the indexing issue, aiming at improving query performance on a redundant GDW. Comparisons among the SB-index approach, the star-join aided by R-tree and the star-join aided by GiST showed that SB-index significantly improves the elapsed time on query processing from 25% up to 95%.","","Full papers","portuguese","10"
"19","Global geoportal for remote sensing image centers","The objective of this work is to propose a geoportal capable of integrating the catalogues of the different images centers without these centers having to migrate their current computational architectures to a specific architecture. In this work, the mediator architecture is considered a flexible and efficient way of building a global geoportal for remote sensing images. The three components of this architecture, portal, mediator and data sources, will be analyzed and specified. The web services technology, as a solution for implementing this architecture, will also be analyzed. As a demonstration prototype, we have integrated the CBERS data distributed by INPE in an existing geoportal.","","Full papers","english","10"
"20","On creating a spatial integration schema for global, context-aware applications","The world of spatial data is split into individual data source islands that have different thematic or spatial focuses. When attempting to integrate those data sources, severe challenges arise, since for most GIS application domains a spatial integration schema does not exist. This is also true for the newly emerging domain of mobile, context-aware applications. Since the users of these systems are mobile, transborder access to spatial data or context models is crucial for global deployment. The basis for this work is the Nexus Augmented World Schema, a conceptual schema that serves as an integration standard for autonomous spatial context servers. This paper analyzes some major spatial data standards, especially with respect to the requirements of a spatial integration schema for context-aware applications and illustrates the Nexus approach.","","Full papers","english","10"
