"id_pessoa","nome","instituicao"
"1","Fabio Gomes de Andrade","Instituto Federal de Educa––o Ci–ncia e Tecnologia da Para–ba (IFPB)"
"2","Cl�udio de Souza Baptista","Instituto Federal de Educa––o Ci–ncia e Tecnologia da Para–ba (IFPB)"
"3","Talita Oliveira Assis","Instituto Nacional de Pesquisas Espaciais (INPE)"
"4","Ana Paula Aguiar","Instituto Nacional de Pesquisas Espaciais (INPE)"
"5","Gilberto Camara","Instituto Nacional de Pesquisas Espaciais (INPE)"
"6","Pedro Ribeiro de Andrade","Instituto Nacional de Pesquisas Espaciais (INPE)"
"7","Ivanildo Barbosa","Instituto Militar de Engenharia (IME)"
"8","Marco A. Casanova","Pontif–cia Universidade Cat–lica do Rio de Janeiro (Puc-Rio)"
"9","Carlos Alberto de Carvalho","Empresa Brasileira de Pesquisa Agropecu–ria (EMBRAPA)"
"10","Maria Cec�lia Calani Baranauskas","Universidade Estadual de Campinas (UNICAMP)"
"11","Evaristo Eduardo de Miranda","Empresa Brasileira de Pesquisa Agropecu–ria (EMBRAPA)"
"12","Renato Deggau","Universidade Federal de Santa Catarina (UFSC)"
"13","Renato Fileto","Universidade Federal de Santa Catarina (UFSC)"
"14","Danilo Pereira","Universidade Federal de Santa Catarina (UFSC)"
"15","Eug�nio Merino","Universidade Federal de Santa Catarina (UFSC)"
"16","Theodor Foerster","University of Muenster"
"17","Thore Fechner","University of Muenster"
"18","Holger Fritze","University of Muenster"
"19","Frederik Loock","University of Muenster"
"20","Alber Remke","52 North - Initiative for Geospatial Open Source software GmbH"
"21","Fabiana B. Gil","Universidade de Campinas (UNICAMP)"
"22","Nadia P. Kozievitch","Universidade de Campinas (UNICAMP)"
"23","Ricardo da S. Torres","Universidade de Campinas (UNICAMP)"
"24","Raquel M. Lana","Universidade Federal de Ouro Preto (UFOP)"
"25","Tiago G. S. Carneiro","Universidade Federal de Ouro Preto (UFOP)"
"26","Nildimar A. Hon�rio","Funda––o Osvaldo Cruz (FIOCRUZ)"
"27","Claudia T. Code�o","Funda––o Osvaldo Cruz (FIOCRUZ)"
"28","Alisson Moscato Loy","Universidade Federal do Rio Grande do Sul (UFRGS)"
"29","Vania Bogorny","Universidade Federal de Santa Catarina (UFSC)"
"30","Chiara Renso","KDD Laboratory – ISTI CNR"
"31","Luis Otavio Alvares","Universidade Federal do Rio Grande do Sul (UFRGS)"
"32","Ivre Marjorie R. Machado","Universidade Federal de Minas Gerais (UFMG)"
"33","Rafael Odon de Alencar","Universidade Federal de Minas Gerais (UFMG)"
"34","Roberto de Oliveira Campos Junior","Pontif–cia Universidade Cat–lica de Minas Gerais (Puc Minas)"
"35","Clodoveu A. Davis Junior","Universidade Federal de Minas Gerais (UFMG)"
"36","Salles V. G. de Magalh�es","Universidade Federal de Vi–osa (UFV)"
"37","Marcus V. A. Andrade","Universidade Federal de Vi–osa (UFV)"
"38","Chaulio Ferreira","Universidade Federal de Vi–osa (UFV)"
"39","Marcelo G. Metello","Pontif–cia Universidade Cat–lica do Rio de Janeiro (Puc-Rio)"
"40","Marcelo T. M. de Carvalho","Pontif–cia Universidade Cat–lica do Rio de Janeiro (Puc-Rio)"
"41","Marco Antonio Casanova","Pontif–cia Universidade Cat–lica do Rio de Janeiro (Puc-Rio)"
"42","Bruno N. Moreno","Universidade Federal de Pernambuco (UFPE)"
"43","Val�ria C. Times","Universidade Federal de Pernambuco (UFPE)"
"44","Chiara Renso","KDDLAB, ISTI-CNR, Italy"
"45","Filipe Ribeiro Nalon","Empresa de Inform–tica e Informa––o do Munic–pio de Belo Horizonte (PRODABEL)"
"46","Jugurta Lisboa-Filho","Universidade Federal de Vi–osa (UFV)"
"47","Karla A. V. Borges","Empresa de Inform–tica e Informa––o do Munic–pio de Belo Horizonte (PRODABEL)"
"48","Jos� Lu�s Braga","Universidade Federal de Vi–osa (UFV)"
"49","Carolina S. Pena","Universidade Federal de Minas Gerias (UFMG)"
"50","Marcelo A. Costa","Universidade Federal de Minas Gerias (UFMG)"
"51","Andr� de Souza Gomes","Universidade Federal de Minas Gerias (UFMG)"
"52","Mario R. Pettinati","Funda––o de Aplica––o e Tecnologias Espaciais (FUNCATE)"
"53","Lubia Vinhas","Instituto Nacional de Pesquisas Espaciais (INPE)"
"54","Julio Cesar Lima D'Alge","Instituto Nacional de Pesquisas Espaciais (INPE)"
"55","Sergio Rosim","Instituto Nacional de Pesquisas Espaciais (INPE)"
"56","Antonio Miguel Vieira Monteiro","Instituto Nacional de Pesquisas Espaciais (INPE)"
"57","Camilo Daleles Renn�","Instituto Nacional de Pesquisas Espaciais (INPE)"
"58","Jo�o Ricardo de Freitas Oliveira","Instituto Nacional de Pesquisas Espaciais (INPE)"
"59","Hideson A. Silva","Companhia Paranaense de Energia (COPEL)"
"60","Luiz E. S. Oliveira","Universidade Federal do Paran– (UFPR)"
"61","Alceu S. Britto-Jr","Pontif–cia Universidade Cat–lica do Paran– (PUC-PR)"
"62","J. R. Sousa","Universidade Federal de Vi–osa (UFV)"
"63","J. Lisboa-Filho","Universidade Federal de Vi–osa (UFV)"
"64","T. L. Gomes","Universidade Federal de Vi–osa (UFV)"
"65","Sergio Izack Vieira Filho","Universidade Federal de Santa Catarina (UFSC)"
"66","Andre Salvaro Furtado","Universidade Federal de Santa Catarina (UFSC)"
"67","Ricardo Haus Guembarovski","Universidade Federal de Santa Catarina (UFSC)"
"68","Leila Weitzel","Universidade Federal do Par– (UFPA)"
"69","Cirano Iochpe","Universidade Federal do Rio Grande do Sul (UFRGS)"
