"id_autoria","id_artigo","id_pessoa","ordem_autoria","autor_correspondente"
"1","1","1","1","TRUE"
"2","1","2","2","FALSE"
"3","1","3","3","FALSE"
"4","1","4","4","FALSE"
"5","2","5","1","TRUE"
"6","2","6","2","FALSE"
"7","2","7","3","FALSE"
"8","2","8","4","FALSE"
"9","2","9","5","FALSE"
"10","3","10","1","TRUE"
"11","3","11","2","FALSE"
"12","3","12","3","FALSE"
"13","4","13","1","TRUE"
"14","4","14","2","FALSE"
"15","5","15","1","TRUE"
"16","5","16","2","FALSE"
"17","5","17","3","FALSE"
"18","6","18","1","TRUE"
"19","6","19","2","FALSE"
"20","6","20","3","FALSE"
"21","6","21","4","FALSE"
"22","6","22","5","FALSE"
"23","7","23","1","TRUE"
"24","7","24","2","FALSE"
"25","7","25","3","FALSE"
"26","7","26","4","FALSE"
"27","7","27","5","FALSE"
"28","8","28","1","TRUE"
"29","8","29","2","FALSE"
"30","8","30","3","FALSE"
"31","8","4","4","FALSE"
"32","9","31","1","TRUE"
"33","9","32","2","FALSE"
"34","9","33","3","FALSE"
"35","9","34","4","FALSE"
"36","10","35","1","TRUE"
"37","10","36","2","FALSE"
"38","10","37","3","FALSE"
"39","11","38","1","TRUE"
"40","11","39","2","FALSE"
"41","11","40","3","FALSE"
"42","11","41","4","FALSE"
"43","11","42","5","FALSE"
"44","11","43","6","FALSE"
"45","11","44","7","FALSE"
"46","11","45","8","FALSE"
"47","11","46","9","FALSE"
"48","11","47","10","FALSE"
"49","11","48","11","FALSE"
"50","12","49","1","TRUE"
"51","12","50","2","FALSE"
"52","13","27","1","TRUE"
"53","13","51","2","FALSE"
"54","13","24","3","FALSE"
"55","13","23","4","FALSE"
"56","14","52","1","TRUE"
"57","14","53","2","FALSE"
"58","15","54","1","TRUE"
"59","15","55","2","FALSE"
"60","15","56","3","FALSE"
"61","15","57","4","FALSE"
"62","15","58","5","FALSE"
"63","16","59","1","TRUE"
"64","16","60","2","FALSE"
"65","16","61","3","FALSE"
"66","16","62","4","FALSE"
"67","17","63","1","TRUE"
"68","17","64","2","FALSE"
"69","17","65","3","FALSE"
