"id_autoria","id_artigo","id_pessoa","ordem_autoria","autor_correspondente"
"1","1","1","1","TRUE"
"2","1","2","2","FALSE"
"3","2","3","1","TRUE"
"4","2","4","2","FALSE"
"5","2","5","3","FALSE"
"6","2","6","4","FALSE"
"7","2","7","5","FALSE"
"8","2","8","6","FALSE"
"9","3","9","1","TRUE"
"10","3","10","2","FALSE"
"11","4","11","1","TRUE"
"12","4","12","2","FALSE"
"13","5","13","1","TRUE"
"14","5","14","2","FALSE"
"15","5","15","3","FALSE"
"16","6","16","1","TRUE"
"17","6","17","2","FALSE"
"18","6","18","3","FALSE"
"19","7","19","1","TRUE"
"20","7","20","2","FALSE"
"21","7","21","3","FALSE"
"22","9","22","1","TRUE"
"23","9","23","2","FALSE"
"24","9","24","3","FALSE"
"25","9","25","4","FALSE"
"26","10","26","1","TRUE"
"27","10","27","2","FALSE"
"28","10","28","3","FALSE"
"29","10","29","4","FALSE"
"30","11","30","1","TRUE"
"31","11","31","2","FALSE"
"32","11","32","3","FALSE"
"33","11","33","4","FALSE"
"34","12","34","1","TRUE"
"35","12","35","2","FALSE"
"36","12","36","3","FALSE"
"37","12","37","4","FALSE"
"38","12","38","5","FALSE"
"39","12","39","6","FALSE"
"40","13","40","1","TRUE"
"41","13","41","2","FALSE"
"42","13","42","3","FALSE"
"43","14","43","1","TRUE"
"44","14","44","2","FALSE"
"45","15","45","1","TRUE"
"46","15","46","2","FALSE"
"47","15","47","3","FALSE"
"48","15","48","4","FALSE"
"49","15","49","5","FALSE"
"50","16","50","1","TRUE"
"51","16","12","2","FALSE"
"52","17","51","1","TRUE"
"53","17","52","2","FALSE"
"54","17","53","3","FALSE"
"55","17","54","4","FALSE"
"56","17","55","5","FALSE"
"57","17","56","6","FALSE"
