"id_autoria","id_artigo","id_pessoa","ordem_autoria","autor_correspondente"
"1","1","1","1","TRUE"
"2","1","2","2","FALSE"
"3","1","3","3","FALSE"
"4","1","4","4","FALSE"
"5","1","5","5","FALSE"
"6","1","6","6","FALSE"
"7","1","7","7","FALSE"
"8","1","8","8","FALSE"
"9","1","9","9","FALSE"
"10","1","10","10","FALSE"
"11","1","11","11","FALSE"
"12","1","12","12","FALSE"
"13","1","13","13","FALSE"
"14","1","14","14","FALSE"
"15","1","15","15","FALSE"
"16","1","16","16","FALSE"
"17","1","17","17","FALSE"
"18","1","18","18","FALSE"
"19","1","19","19","FALSE"
"20","1","20","20","FALSE"
"21","1","21","21","FALSE"
"22","1","22","22","FALSE"
"23","2","23","1","TRUE"
"24","2","24","2","FALSE"
"25","2","25","3","FALSE"
"26","2","26","4","FALSE"
"27","2","27","5","FALSE"
"28","3","28","1","TRUE"
"29","3","29","2","FALSE"
"30","3","30","3","FALSE"
"31","3","31","4","FALSE"
"32","3","32","5","FALSE"
"33","3","33","6","FALSE"
"34","4","34","1","TRUE"
"35","4","28","2","FALSE"
"36","4","33","3","FALSE"
"37","5","35","1","TRUE"
"38","5","36","2","FALSE"
"39","6","37","1","TRUE"
"40","6","38","2","FALSE"
"41","6","39","3","FALSE"
"42","7","40","1","TRUE"
"43","7","41","2","FALSE"
"44","7","42","3","FALSE"
"45","7","43","4","FALSE"
"46","8","44","1","TRUE"
"47","8","45","2","FALSE"
"48","8","46","3","FALSE"
"49","9","47","1","TRUE"
"50","9","48","2","FALSE"
"51","9","49","3","FALSE"
"52","9","50","4","FALSE"
"53","9","51","5","FALSE"
"54","10","52","1","TRUE"
"55","10","53","2","FALSE"
"56","10","54","3","FALSE"
"57","10","55","4","FALSE"
"58","10","56","5","FALSE"
"59","11","57","1","TRUE"
"60","11","58","2","FALSE"
"61","12","59","1","TRUE"
"62","12","60","2","FALSE"
"63","12","61","3","FALSE"
"64","12","62","4","FALSE"
"65","12","63","5","FALSE"
"66","12","64","6","FALSE"
"67","12","65","7","FALSE"
"68","13","66","1","TRUE"
"69","13","67","2","FALSE"
"70","13","68","3","FALSE"
"71","13","69","4","FALSE"
"72","13","70","5","FALSE"
"73","13","71","6","FALSE"
"74","13","72","7","FALSE"
"75","13","73","8","FALSE"
"76","13","74","9","FALSE"
"77","13","75","10","FALSE"
"78","13","76","11","FALSE"
"79","13","77","12","FALSE"
"80","14","78","1","TRUE"
"81","14","79","2","FALSE"
"82","14","80","3","FALSE"
"83","15","81","1","TRUE"
"84","15","82","2","FALSE"
"85","15","83","3","FALSE"
"86","16","84","1","TRUE"
"87","16","85","2","FALSE"
"88","16","86","3","FALSE"
"89","16","87","4","FALSE"
"90","16","88","5","FALSE"
"91","17","89","1","TRUE"
"92","17","90","2","FALSE"
"93","17","91","3","FALSE"
"94","18","92","1","TRUE"
"95","18","93","2","FALSE"
"96","18","94","3","FALSE"
"97","19","95","1","TRUE"
"98","19","96","2","FALSE"
"99","19","97","3","FALSE"
"100","19","98","4","FALSE"
"101","20","99","1","TRUE"
"102","20","100","2","FALSE"
"103","20","101","3","FALSE"
"104","20","102","4","FALSE"
"105","20","103","5","FALSE"
