"id_pessoa","nome","instituicao"
"1","Thaís Basso Amaral","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)"
"2","Valery Gond","CIRAD"
"3","Annelise Tran","CIRAD, UPR AGIRs ""Animal et Gestion Intégrée des Risques"""
"4","Thiago C. Andrade","Centro Federal de Educação Tecnológica de Minas Gerais (CEFET-MG)"
"5","Marconi de A. Pereira","Universidade Federal de São João Del Rei (UFSJ)"
"6","Elizabeth F. Wanner","Centro Federal de Educação Tecnológica de Minas Gerais (CEFET-MG)"
"7","Luciano Barbosa","IBM Research"
"8","Matthías Kormáksson","IBM Research"
"9","Marcos R. Vieira","IBM Research"
"10","Rafael L. Tavares","IBM Research"
"11","Bianca Zadrozny","IBM Research"
"12","Hugo do Nascimento Bendini","Instituto Nacional de Pesquisas Espaciais (INPE)"
"13","Wilson S. Moraes","Instituto Nacional de Pesquisas Espaciais (INPE)"
"14","Simone S. da Costa","Instituto Nacional de Pesquisas Espaciais (INPE)"
"15","Eymar S. S. Lopes","Instituto Nacional de Pesquisas Espaciais (INPE)"
"16","Thales Sehn Körting","Instituto Nacional de Pesquisas Espaciais (INPE)"
"17","Leila Maria Garcia Fonseca","Instituto Nacional de Pesquisas Espaciais (INPE)"
"18","Cláudio Henrique Bogossian","Instituto Nacional de Pesquisas Espaciais (INPE)"
"19","Karine Reis Ferreira","Instituto Nacional de Pesquisas Espaciais (INPE)"
"20","Antônio Miguel Vieira Monteiro","Instituto Nacional de Pesquisas Espaciais (INPE)"
"21","Lúbia Vinhas","Instituto Nacional de Pesquisas Espaciais (INPE)"
"22","Vinícius G. Braga","Universidade Federal de Goiás (UFG)"
"23","Welder Oliveira","Universidade Federal de Goiás (UFG)"
"24","Vagner Sacramento","Universidade Federal de Goiás (UFG)"
"25","Kleber V. Cardoso","Universidade Federal de Goiás (UFG)"
"26","Jean H. S. Camara","Universidade Federal de Viçosa (UFV)"
"27","Thales T. Almeida","Universidade Federal de Viçosa (UFV)"
"28","Denis R. Carvalho","Universidade Federal de Viçosa (UFV)"
"29","Thiago B. Ferreira","Universidade Federal de Viçosa (UFV)"
"30","Allan F. Balardino","Universidade Federal de Viçosa (UFV)"
"31","Gilberto V. Oliveira","Universidade Federal de Viçosa (UFV)"
"32","Fábio J. B. Fonseca","Universidade Federal de Viçosa (UFV)"
"33","Ricardo S. Ramos","Universidade Federal de Viçosa (UFV)"
"34","Wagner D. Souza","Universidade Federal de Viçosa (UFV)"
"35","Jugurta Lisboa Filho","Universidade Federal de Viçosa (UFV)"
"36","Carlos Alberto Felgueiras","Instituto Nacional de Pesquisas Espaciais (INPE)"
"37","Jussara de Oliveira Ortiz","Instituto Nacional de Pesquisas Espaciais (INPE)"
"38","Eduardo Celso Gerbi Camargo","Instituto Nacional de Pesquisas Espaciais (INPE)"
"39","Diego Benincasa F. C. Almeida","Instituto Nacional de Pesquisas Espaciais (INPE)"
"40","Fred Fonseca","The Pennsylvania State University"
"41","Clodoveu Augusto Davis Júnior","Universidade Federal de Minas Gerais (UFMG)"
"42","Gilberto Câmara","Instituto Nacional de Pesquisas Espaciais (INPE)"
"43","Caio Alves Furtado","Universidade Federal de Minas Gerais (UFMG)"
"44","Thamara Karen Andrade","Universidade Federal de Minas Gerais (UFMG)"
"45","Clodoveu A. Davis Júnior","Universidade Federal de Minas Gerais (UFMG)"
"46","Ciro D. G. Moura","Universidade do Estado do Rio Grande do Norte (UERN)"
"47","Nicksson C. A. Freitas","Universidade do Estado do Rio Grande do Norte (UERN)"
"48","Marcelino P. S. Silva","Universidade do Estado do Rio Grande do Norte (UERN)"
"49","Ricardo Gil Belther Nabo","Universidade Federal de Santa Catarina (UFSC)"
"50","Renato Fileto","Universidade Federal de Santa Catarina (UFSC)"
"51","Mirco Nanni","Institute of Information Science and Technologies ""Alessandro Faedo"" (ISTI)"
"52","Chiara Renso","Institute of Information Science and Technologies ""Alessandro Faedo"" (ISTI)"
"53","Maxwell Guimarães de Oliveira","Universidade Federal de Campina Grande (UFCG)"
"54","Cláudio de Souza Baptista","Universidade Federal de Campina Grande (UFCG)"
"55","Cláudio E. C. Campelo","Universidade Federal de Campina Grande (UFCG)"
"56","José Amilton Moura Acioli Filho","Universidade Federal de Campina Grande (UFCG)"
"57","Ana Gabrielle Ramos Falcão","Universidade Federal de Campina Grande (UFCG)"
"58","Diogo Rennó R. Oliveira","Universidade Federal de Minas Gerais (UFMG)"
"59","Clodoveu A. Davis Junior","Universidade Federal de Minas Gerais (UFMG)"
"60","Sávio S. Teles de Oliveira","GoGeo"
"61","José F. de S Filho","Universidade Federal de Goiás (UFG)"
"62","Vagner J. do Sacramento Rodrigues","GoGeo"
"63","Marcelo de C. Cardoso","GoGeo"
"64","Sérgio T. de Carvalho","Universidade Federal de Goiás (UFG)"
"65","Felipe Pinto da Silva","Universidade Federal de Santa Catarina (UFSC)"
"66","Alexsandro C. de O. Silva","Instituto Nacional de Pesquisas Espaciais (INPE)"
"67","Márcio P. Mello","The Boeing Company"
"68","Henrique Ferreira Soares","Universidade Federal de Minas Gerais (UFMG)"
"69","Michele Brito Pinheiro","Universidade Federal de Minas Gerais (UFMG)"
"70","Bruno César Vani","Universidade Estadual Paulista (UNESP)"
"71","Ivana Ivánová","Universidade Estadual Paulista (UNESP)"
"72","João Francisco Galea Monico","Universidade Estadual Paulista (UNESP)"
"73","Milton Hirokazu Shimabukuro","Universidade Estadual Paulista (UNESP)"
