title,abstract,article_type,language,event_edition,author,affiliation
Deep learning automated workflow for cloud segmentation in remote sensing images,"In this work, we propose an open source and automated workflow for semantic segmentation of remote sensing images. Even though it can be used in other sensors, to evaluate this workflow, a case study has been conducted applying a deep learning algorithm for segmenting clouds in images from WFI sensor, onboard CBERS-4A satellite. Since WFI does not have a tailor-made cloud segmentation algorithm, we customized our workflow based on the Unet neural network to fulfill this gap. Our results are promising according to our tests, although some problems were identified, like false positives over high albedo targets. These problems suggest improvements that could be tackled in the future.",full,english,23,"['Diego Henrique M. Matos', 'Alber Hamersson S�nchez Ipia', 'Tiago G. S. Carneiro']","['Universidade Federal de Minas Gerais (UFMG)', 'Instituto Nacional de Pesquisas Espaciais (INPE)', 'Universidade Federal de Ouro Preto (UFOP)']"
A New Big Data Architecture for Efficient Processing of Spatiotemporal Data using Machine Learning,"The volume of spatiotemporal data is increasing in the era of Big Data and has brought several challenges in managing and processing these data. Many big data platforms have been created to address these challenges, but none can outperform the others in all scenarios on spatiotemporal queries. This paper presents a scalable architecture for efficient spatiotemporal data processing. This architecture allows a couple of several big data platforms and automatically choose on the fly, using machine learning, the best big data platform to process each spatiotemporal query.",full,english,23,"['S�vio S. Teles de Oliveira', 'Vagner J. do Sacramento Rodrigues', 'Wellington S. Martins', 'Anderson da Silva Soares']","['Universidade Federal de Goi–s (UFG)', 'Universidade Federal de Goi–s (UFG)', 'Universidade Federal de Goi–s (UFG)', 'Universidade Federal de Goi–s (UFG)']"
A tool to predict the growth of urban regions based on QGIS/MOLUSCE using MapBiomas image time series,"This paper presents a method to generate future scenarios of Land- Use and Land-Cover (LULC) classification images by implementing an artificial neural network that can be used to predict urban growth. In this study, LULC data from 1985 to 2020 with annual intervals, obtained through MapBiomas, were used. These data were inserted into a neural network integrated with the MOLUSCE plugin from QGIS to model the possible spatio-temporal changes to simulate the evolution of LULC. MapBiomas is a powerful tool, that uses data from time series from Landsat Satellites and machine learning algorithms to provide reliable products. Our analysis focused on cities that have expanded greatly over the past two decades according to studies made by IBGE. The results obtained were better than those presented in related works, obtaining a kappa value of 0.74 and an accuracy value of at least 80% in all tests performed.",full,english,23,"['Mario Arthur Sclafani Pujatti', 'Marconi de Arruda Pereira', 'Leonardo Jos� Silvestre']","['Universidade Federal de S–o Jo–o del Rei (UFSJ)', 'Universidade Federal de S–o Jo–o del Rei (UFSJ)', 'Universidade Federal do Esp–rito Santo (UFES)']"
Spatiotemporal Representation of the Territorial Evolution of Brazil,"This paper presents the modeling of a geographic database that includes temporal data on the evolution of territorial boundaries. Data on the changes that occurred in the Brazilian territory between the years of 1872 and 1991 are modified in order to implement the necessary structures for manipulation of temporal data. This works purpose is to achieve a single structure for analysis, comparison and visualization of spatiotemporal data. The result of the modeling is presented, along with an interaction in which it is possible to retrieve geographic data from a range of years. Keywords: temporal data, spatiotemporal data, geoprocessing, GIS, Brazilian territory, database modeling.",full,english,23,"['Fernanda de Oliveira Ramalho', 'Clodoveu A. Davis Junior']","['Universidade Federal de Minas Gerais (UFMG)', 'Universidade Federal de Minas Gerais (UFMG)']"
Generating POI type embeddings based on variableWord2Vec sentences,"Point of Interest (POI) types are one of the most researched aspects on urban data. Several works have successfully modeled POI types cosidering POI co-occurrences in diferent spatial regions along with statistical models based on the Word2Vec technique from Natural Language Processing. Although these works have presented good results, they do not consider the spatial distance among related POIs as a feature to represent POI types. In this context, we present an approach based on Word2Vec sentences that includes such a distance to generate POI type embeddings, providing an improved POI type representation. Experiments based on similarity assessments between POI types revealed that our representation provides values close to human judgment.",full,english,23,"['Salatiel Dantas Silva', 'Claudio E. C. Campelo', 'Maxwell Guimar�es de Oliveira']","['Universidade Federal de Campina Grande (UFCG)', 'Universidade Federal de Campina Grande (UFCG)', 'Universidade Federal de Campina Grande (UFCG)']"
Feature extraction of spatial panel data with autoencoders for clustering the Brazilian agricultural diversity,"Brazilian agricultural production presents a high degree of spatial diversity, which challenges designing territorial public policies to promote sustainable development. This article proposes a new approach to cluster Brazilian municipalities according to their agricultural production. It combines a feature extraction mechanism using Deep Learning based on Autoencoders and clustering based on k-means and Self-Organizing Maps. We used the panel data from IBGEs annual estimates of Brazilian agricultural production between 1999 and 2018. Different structures of simple stacked undercomplete autoencoders were analyzed, varying the number of layers and neurons in each of them, including the latent layer. We evaluated the asymmetric exponential linear loss function to cope with the sparse data. The results show that in comparison with the ground truth adopted, the autoencoder model combined with the Self-Organizing Maps and the k-means algorithm presented a better result than the clustering of the raw data from the k-means, demonstrating the ability of simple stacked autoencoders to reduce the dimensionality and create a new space of features in their latent layer where the data can be analyzed and clustered. Although the general accuracy is low, the results are promising, considering that we can add new improvements to the Deep Clustering process.",full,english,23,"['Marcos A. S. da Silva', 'Leonardo N. Matos', 'Fl�vio E. de O. Santos', 'M�rcia H. G. Dompieri', 'Fl�vio R. de Moura']","['Empresa Brasileira de Pesquisa Agropecu–ria (EMBRAPA)', 'Universidade Federal de Sergipe (UFS)', 'Universidade Federal de Sergipe (UFS)', 'Embrapa Territorial', 'Universidade Federal de Sergipe (UFS)']"
Integrando m�todos de an�lise durante a coleta de amostras de uso e cobertura da terra,"The Land Use and Land Cover (LULC) mapping based on machine learning requires collecting samples for the training of predictive models. This step is a time-consuming and expensive process, in addition this activity is subject to mislabeling samples. Therefore, several methods for quality assessment have been developed and applied successfully, but attaching the collect process with assessment becomes a challenge on some platforms. This article presents a work in progress that aims to integrate methods for sample analysis during the collection process in the TerraCollect system under development in the Brazil Data Cube. RESUMO: A produ��o de mapas de uso e cobertura da terra com base em aprendizado de m�quina requer a coleta de amostras para treinamento de modelos preditivos. Esta etapa � custosa e pode demandar tempo, al�m de ser uma atividade sujeita a erros na rotula��o. Por conta disso, abordagens para an�lise da qualidade de dados de treinamento t�m sido desenvolvidas e empregadas com sucesso, por�m unir estas duas atividades ainda � um desafio em diversas plataformas. Este artigo apresenta um trabalho em andamento que busca a integra��o de m�todos para a an�lise das amostras durante a coleta na plataforma web TerraCollect em desenvolvimento no projeto Brazil Data Cube.",short,portuguese,23,"['Abner Ern�ni dos Anjos', 'Karine Reis Ferreira', 'Gilberto Ribeiro de Queiroz', 'Fabiana Zioti', 'Gabriel Sansigolo']","['Instituto Nacional de Pesquisas Espaciais (INPE)', 'Instituto Nacional de Pesquisas Espaciais (INPE)', 'Instituto Nacional de Pesquisas Espaciais (INPE)', 'Instituto Nacional de Pesquisas Espaciais (INPE)', 'Instituto Nacional de Pesquisas Espaciais (INPE)']"
Modeling the dynamics of moving regions for knowledge discovery,"Several methods to pattern mining in trajectories have been developed in the past years, most of them conceived for moving points. Nevertheless, there are potential demands to analyze the dynamic behavior of features with spatial extents, such as the changes in the land cover and weather imagery. This paper aims to extend both methods and patterns used in trajectory data mining defined for moving points to analyze moving regions. The proposed solution includes the transformation of the set of regions into a set of trajectories, the computation of the geometric differences, and the temporal analysis of both size and complexity of the shapes of such geometries.",short,english,23,"['Ivanildo Barbosa', 'Raquel Aparecida Abrah�o Costa e Oliveira']","['Instituto Militar de Engenharia (IME)', 'Instituto Militar de Engenharia (IME)']"
Innovative Tools for TerraHidro: An Intuitive GIS User Interface,"This article shows the development and implementation of the TerraHidro system, interface version, in Linux, with innovations in relation to the traditional interfaces of geographic information systems. The objective is to reduce user interaction with the system, allowing several functions to be performed with just one interaction, with intermediate functions being performed automatically. Therefore, it was necessary to create a metadata structure to associate each data with its type. In addition, a tool was implemented to save the execution history, under user command. A text file will be created. It will work with a TerraHidro function script in the command line version.",short,english,23,"['Thiago Luiz Morais Barreto', 'S�rgio Rosim']","['Instituto Nacional de Pesquisas Espaciais (INPE)', 'Instituto Nacional de Pesquisas Espaciais (INPE)']"
Mapeamento de Corte Seletivo na Amaz�nia Brasileira Usando Imagens Planet de Alta Resolu��o Espacial e Intelig�ncia Artificial: estudo de caso na Floresta Nacional do Jamari,"The Amazon has the largest remnant of tropical forests in the world and is being threatened daily by deforestation and forest degradation. The estimated area of forest degradation is underestimated, which is problematic for both sustainable policy enforcement, environmental oversight and national carbon emission inventories. Therefore, a deep learning model (U-Net) was trained to map forest degradation using Planet imagery (4.77 m spatial resolution) in the Jamari National Forest at the Brazilian Amazon. Preliminary results showed an overall accuracy of 67%. Our approach is promising to monitor forest concessions in Amazonia. Resumo. A Amaz�nia possui o maior remanescente de florestas tropicais do mundo e est� sendo amea�ada diariamente pelo desmatamento e degrada��o florestal. A �rea estimada de degrada��o florestal � subestimada, o que � problem�tico tanto para a aplica��o de pol�ticas sustent�veis, fiscaliza��o ambiental e invent�rios nacionais de emiss�es de carbono. Dessa forma, um modelo de deep learning (UNet) foi treinado para mapear a degrada��o florestal usando imagens Planet (resolu��o espacial de 4,77 m) na Floresta Nacional do Jamari, na Amaz�nia brasileira. Os resultados preliminares mostraram precis�o geral de 67%. Nossa abordagem � promissora para monitoramento de concess�es florestais na Amaz�nia.",short,portuguese,23,"['Daniel Braga', 'Ricardo Dalagnol da Silva', 'Celso Bandeira M. Ribeiro', 'Liana O. Anderson', 'Luiz Eduardo Oliveira e Cruz de Arag�o']","['Universidade Federal de Juiz de Fora (UFJF)', 'Instituto Nacional de Pesquisas Espaciais (INPE)', 'Universidade Federal de Juiz de Fora (UFJF)', 'Centro Nacional de Monitoramento e Alerta de Desastres Naturais (CEMADEN)', 'Instituto Nacional de Pesquisas Espaciais (INPE)']"
