"id_autoria","id_artigo","id_pessoa","ordem_autoria","autor_correspondente"
"1","1","1","1","TRUE"
"2","1","2","2","FALSE"
"3","2","3","1","TRUE"
"4","2","4","2","FALSE"
"5","3","3","1","TRUE"
"6","3","5","2","FALSE"
"7","4","6","1","TRUE"
"8","4","7","2","FALSE"
"9","4","8","3","FALSE"
"10","4","9","4","FALSE"
"11","5","10","1","TRUE"
"12","5","11","2","FALSE"
"13","5","12","3","FALSE"
"14","6","13","1","TRUE"
"15","6","14","2","FALSE"
"16","6","15","3","FALSE"
"17","7","16","1","TRUE"
"18","7","17","2","FALSE"
"19","7","18","3","FALSE"
"20","8","19","1","TRUE"
"21","8","20","2","FALSE"
"22","8","21","3","FALSE"
"23","9","22","1","TRUE"
"24","9","23","2","FALSE"
"25","9","17","3","FALSE"
"26","10","24","1","TRUE"
"27","10","25","2","FALSE"
"28","10","26","3","FALSE"
"29","11","27","1","TRUE"
"30","11","28","2","FALSE"
"31","11","29","3","FALSE"
"32","11","30","4","FALSE"
"33","12","31","1","TRUE"
"34","12","32","2","FALSE"
"35","13","33","1","TRUE"
"36","13","34","2","FALSE"
"37","14","35","1","TRUE"
"38","14","26","2","FALSE"
"39","14","36","3","FALSE"
"40","15","37","1","TRUE"
"41","15","38","2","FALSE"
"42","15","39","3","FALSE"
"43","15","40","4","FALSE"
"44","16","41","1","TRUE"
"45","16","42","2","FALSE"
"46","16","43","3","FALSE"
"47","16","44","4","FALSE"
"48","16","45","5","FALSE"
"49","17","46","1","TRUE"
"50","17","47","2","FALSE"
"51","18","48","1","TRUE"
"52","18","49","2","FALSE"
"53","18","12","3","FALSE"
"54","19","50","1","TRUE"
"55","19","51","2","FALSE"
"56","19","52","3","FALSE"
"57","19","53","4","FALSE"
"58","20","54","1","TRUE"
"59","20","55","2","FALSE"
"60","20","56","3","FALSE"
"61","20","57","4","FALSE"
"62","21","58","1","TRUE"
"63","21","59","2","FALSE"
"64","22","60","1","TRUE"
"65","22","61","2","FALSE"
