id_autoria,id_artigo,id_pessoa,ordem_autoria,autor_correspondente
1,1,1,1,False
2,1,2,2,False
3,1,3,3,False
4,1,4,4,False
5,2,5,1,False
6,2,6,2,False
7,3,7,1,False
8,3,8,2,False
9,3,9,3,False
10,4,10,1,False
11,4,11,2,False
12,5,12,1,False
13,5,13,2,False
14,6,14,1,False
15,6,15,2,False
16,6,16,3,False
17,6,17,4,False
18,7,18,1,False
19,7,19,2,False
20,8,20,1,False
21,8,21,2,False
22,8,22,3,False
23,9,23,1,False
24,9,24,2,False
25,9,25,3,False
26,10,26,1,False
27,10,27,2,False
28,10,28,3,False
29,10,29,4,False
30,10,30,5,False
31,11,31,1,False
32,11,32,2,False
33,12,33,1,False
34,12,21,2,False
35,12,34,3,False
36,13,35,1,False
37,13,21,2,False
38,14,36,1,False
39,14,37,2,False
40,15,38,1,False
41,15,39,2,False
42,15,40,3,False
43,16,41,1,False
44,16,42,2,False
45,16,43,3,False
46,16,44,4,False
47,17,45,1,False
48,17,32,2,False
49,17,46,3,False
50,17,47,4,False
51,18,48,1,False
52,18,21,2,False
